# time  xtii  vtii  xtrue  vtrue  Etii  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  1  -0.1  1  0  0.505  0.0015915  0
0.1  0.99  -0.2  0.995  -0.099833  0.51005  0.003199  0.015915
0.2  0.97  -0.299  0.98007  -0.19867  0.51515  0.0048226  0.031831
0.3  0.9401  -0.396  0.95534  -0.29552  0.5203  0.0064623  0.047746
0.4  0.9005  -0.49001  0.92106  -0.38942  0.52551  0.0081185  0.063662
0.5  0.8515  -0.58006  0.87758  -0.47943  0.53076  0.0097912  0.079577
0.6  0.79349  -0.66521  0.82534  -0.56464  0.53607  0.011481  0.095493
0.7  0.72697  -0.74456  0.76484  -0.64422  0.54143  0.013187  0.11141
0.8  0.65252  -0.81726  0.69671  -0.71736  0.54684  0.01491  0.12732
0.9  0.57079  -0.88251  0.62161  -0.78333  0.55231  0.016651  0.14324
1  0.48254  -0.93959  0.5403  -0.84147  0.55783  0.018409  0.15915
1.1  0.38858  -0.98784  0.4536  -0.89121  0.56341  0.020185  0.17507
1.2  0.2898  -1.0267  0.36236  -0.93204  0.56905  0.021978  0.19099
1.3  0.18713  -1.0557  0.2675  -0.96356  0.57474  0.02379  0.2069
1.4  0.081559  -1.0744  0.16997  -0.98545  0.58048  0.025619  0.22282
1.5  -0.02588  -1.0825  0.070737  -0.99749  0.58629  0.027467  0.23873
1.6  -0.13413  -1.08  -0.0292  -0.99957  0.59215  0.029333  0.25465
1.7  -0.24213  -1.0665  -0.12884  -0.99166  0.59807  0.031218  0.27056
1.8  -0.34879  -1.0423  -0.2272  -0.97385  0.60405  0.033122  0.28648
1.9  -0.45302  -1.0075  -0.32329  -0.9463  0.6101  0.035044  0.30239
2  -0.55376  -0.96215  -0.41615  -0.9093  0.6162  0.036986  0.31831
2.1  -0.64998  -0.90678  -0.50485  -0.86321  0.62236  0.038948  0.33423
2.2  -0.74066  -0.84178  -0.5885  -0.8085  0.62858  0.040929  0.35014
2.3  -0.82483  -0.76771  -0.66628  -0.74571  0.63487  0.04293  0.36606
2.4  -0.90161  -0.68523  -0.73739  -0.67546  0.64122  0.04495  0.38197
2.5  -0.97013  -0.59507  -0.80114  -0.59847  0.64763  0.046992  0.39789
2.6  -1.0296  -0.49806  -0.85689  -0.5155  0.6541  0.049053  0.4138
2.7  -1.0794  -0.39509  -0.90407  -0.42738  0.66065  0.051135  0.42972
2.8  -1.119  -0.28715  -0.94222  -0.33499  0.66725  0.053238  0.44563
2.9  -1.1477  -0.17525  -0.97096  -0.23925  0.67392  0.055362  0.46155
3  -1.1652  -0.060486  -0.98999  -0.14112  0.68066  0.057507  0.47746
3.1  -1.1712  0.056033  -0.99914  -0.041581  0.68747  0.059674  0.49338
3.2  -1.1656  0.17316  -0.99829  0.058374  0.69435  0.061862  0.5093
3.3  -1.1483  0.28972  -0.98748  0.15775  0.70129  0.064072  0.52521
3.4  -1.1193  0.40455  -0.9668  0.25554  0.7083  0.066304  0.54113
3.5  -1.0789  0.51649  -0.93646  0.35078  0.71538  0.068559  0.55704
3.6  -1.0272  0.62438  -0.89676  0.44252  0.72254  0.070836  0.57296
3.7  -0.96481  0.7271  -0.8481  0.52984  0.72976  0.073136  0.58887
3.8  -0.8921  0.82358  -0.79097  0.61186  0.73706  0.075459  0.60479
3.9  -0.80974  0.91279  -0.72593  0.68777  0.74443  0.077805  0.6207
4  -0.71846  0.99376  -0.65364  0.7568  0.75188  0.080175  0.63662
4.1  -0.61908  1.0656  -0.57482  0.81828  0.75939  0.082568  0.65254
4.2  -0.51252  1.1275  -0.49026  0.87158  0.76699  0.084985  0.66845
4.3  -0.39977  1.1788  -0.4008  0.91617  0.77466  0.087427  0.68437
4.4  -0.28189  1.2187  -0.30733  0.9516  0.78241  0.089892  0.70028
4.5  -0.16002  1.2469  -0.2108  0.97753  0.79023  0.092383  0.7162
4.6  -0.035324  1.2629  -0.11215  0.99369  0.79813  0.094898  0.73211
4.7  0.09097  1.2665  -0.012389  0.99992  0.80611  0.097439  0.74803
4.8  0.21762  1.2574  0.087499  0.99616  0.81417  0.1  0.76394
4.9  0.34335  1.2356  0.18651  0.98245  0.82232  0.1026  0.77986
5  0.46692  1.2013  0.28366  0.95892  0.83054  0.10521  0.79577
5.1  0.58704  1.1546  0.37798  0.92581  0.83884  0.10786  0.81169
5.2  0.7025  1.0959  0.46852  0.88345  0.84723  0.11053  0.82761
5.3  0.81209  1.0256  0.55437  0.83227  0.85571  0.11322  0.84352
5.4  0.91465  0.94442  0.63469  0.77276  0.86426  0.11595  0.85944
5.5  1.0091  0.85296  0.70867  0.70554  0.8729  0.1187  0.87535
5.6  1.0944  0.75205  0.77557  0.63127  0.88163  0.12148  0.89127
5.7  1.1696  0.64261  0.83471  0.55069  0.89045  0.12428  0.90718
5.8  1.2339  0.52565  0.88552  0.4646  0.89935  0.12712  0.9231
5.9  1.2864  0.40226  0.92748  0.37388  0.90835  0.12998  0.93901
