# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  0.955  -0.3  1  0  0.50101  0.00032229  0
0.3  0.82203  -0.573  0.95534  -0.29552  0.50203  0.00064523  0.047746
0.6  0.61313  -0.79382  0.82534  -0.56464  0.50304  0.00096883  0.095493
0.9  0.3474  -0.94204  0.62161  -0.78333  0.50406  0.0012931  0.14324
1.2  0.049151  -1.0039  0.36236  -0.93204  0.50508  0.001618  0.19099
1.5  -0.25422  -0.97344  0.070737  -0.99749  0.50611  0.0019435  0.23873
1.8  -0.53481  -0.85337  -0.2272  -0.97385  0.50713  0.0022698  0.28648
2.1  -0.76676  -0.65452  -0.50485  -0.86321  0.50816  0.0025967  0.33423
2.4  -0.92861  -0.39504  -0.73739  -0.67546  0.50919  0.0029242  0.38197
2.7  -1.0053  -0.098682  -0.90407  -0.42738  0.51022  0.0032524  0.42972
3  -0.9897  0.20736  -0.98999  -0.14112  0.51125  0.0035813  0.47746
3.3  -0.88296  0.49494  -0.98748  0.15775  0.51229  0.0039108  0.52521
3.6  -0.69474  0.73755  -0.89676  0.44252  0.51332  0.004241  0.57296
3.9  -0.44221  0.91278  -0.72593  0.68777  0.51436  0.0045719  0.6207
4.2  -0.14848  1.0044  -0.49026  0.87158  0.5154  0.0049035  0.66845
4.5  0.15952  1.0037  -0.2108  0.97753  0.51645  0.0052357  0.7162
4.8  0.45345  0.9107  0.087499  0.99616  0.51749  0.0055686  0.76394
5.1  0.70626  0.73368  0.37798  0.92581  0.51854  0.0059021  0.81169
5.4  0.89458  0.48879  0.63469  0.77276  0.51959  0.0062364  0.85944
5.7  1.001  0.19842  0.83471  0.55069  0.52064  0.0065713  0.90718
6  1.0154  -0.1108  0.96017  0.27942  0.5217  0.0069069  0.95493
6.3  0.93651  -0.41045  0.99986  -0.016814  0.52276  0.0072432  1.0027
6.6  0.77123  -0.67293  0.95023  -0.31154  0.52381  0.0075801  1.0504
6.9  0.53465  -0.87401  0.81573  -0.57844  0.52487  0.0079178  1.0982
7.2  0.24838  -0.99508  0.60835  -0.79367  0.52594  0.0082561  1.1459
7.5  -0.061317  -1.0248  0.34664  -0.938  0.527  0.0085951  1.1937
7.8  -0.366  -0.9603  0.053955  -0.99854  0.52807  0.0089348  1.2414
8.1  -0.63762  -0.80729  -0.24354  -0.96989  0.52914  0.0092752  1.2892
8.4  -0.85112  -0.57967  -0.51929  -0.8546  0.53021  0.0096162  1.3369
8.7  -0.98672  -0.29825  -0.74865  -0.66297  0.53128  0.009958  1.3846
9  -1.0318  0.011184  -0.91113  -0.41212  0.53236  0.0103  1.4324
9.3  -0.98201  0.32022  -0.99223  -0.12445  0.53344  0.010644  1.4801
9.6  -0.84175  0.60041  -0.98469  0.17433  0.53452  0.010987  1.5279
9.9  -0.62375  0.82592  -0.88919  0.45754  0.5356  0.011332  1.5756
10.2  -0.3479  0.97588  -0.71427  0.69987  0.53669  0.011677  1.6234
10.5  -0.039487  1.0363  -0.47554  0.8797  0.53777  0.012023  1.6711
10.8  0.27319  1.0015  -0.19433  0.98094  0.53886  0.01237  1.7189
11.1  0.56136  0.87452  0.10424  0.99455  0.53995  0.012717  1.7666
11.4  0.79845  0.66676  0.39349  0.91933  0.54105  0.013065  1.8144
11.7  0.96255  0.39722  0.6476  0.76198  0.54214  0.013414  1.8621
12  1.0384  0.090576  0.84385  0.53657  0.54324  0.013763  1.9099
12.3  1.0188  -0.22502  0.96473  0.26323  0.54434  0.014114  1.9576
12.6  0.90549  -0.52055  0.99943  -0.033623  0.54544  0.014464  2.0054
12.9  0.70858  -0.76877  0.94486  -0.32747  0.54655  0.014816  2.0531
13.2  0.44606  -0.94675  0.80588  -0.59207  0.54765  0.015168  2.1008
13.5  0.14196  -1.038  0.59492  -0.80378  0.54876  0.015521  2.1486
13.8  -0.17581  -1.0338  0.33081  -0.9437  0.54987  0.015875  2.1963
14.1  -0.47805  -0.93458  0.037158  -0.99931  0.55099  0.016229  2.2441
14.4  -0.73692  -0.74911  -0.25982  -0.96566  0.5521  0.016585  2.2918
