# time  xtii  vtii  xtrue  vtrue  Etii  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  1  -0.01  1  0  0.50005  1.5915e-05  0
0.01  0.9999  -0.02  0.99995  -0.0099998  0.5001  3.1833e-05  0.0015915
0.02  0.9997  -0.029999  0.9998  -0.019999  0.50015  4.7751e-05  0.0031831
0.03  0.9994  -0.039996  0.99955  -0.029996  0.5002  6.3672e-05  0.0047746
0.04  0.999  -0.04999  0.9992  -0.039989  0.50025  7.9593e-05  0.0063662
0.05  0.9985  -0.05998  0.99875  -0.049979  0.5003  9.5517e-05  0.0079577
0.06  0.9979  -0.069965  0.9982  -0.059964  0.50035  0.00011144  0.0095493
0.07  0.9972  -0.079944  0.99755  -0.069943  0.5004  0.00012737  0.011141
0.08  0.9964  -0.089916  0.9968  -0.079915  0.50045  0.0001433  0.012732
0.09  0.9955  -0.09988  0.99595  -0.089879  0.5005  0.00015923  0.014324
0.1  0.9945  -0.10984  0.995  -0.099833  0.50055  0.00017516  0.015915
0.11  0.9934  -0.11978  0.99396  -0.10978  0.5006  0.00019109  0.017507
0.12  0.99221  -0.12971  0.99281  -0.11971  0.50065  0.00020703  0.019099
0.13  0.99091  -0.13964  0.99156  -0.12963  0.5007  0.00022296  0.02069
0.14  0.98951  -0.14955  0.99022  -0.13954  0.50075  0.0002389  0.022282
0.15  0.98802  -0.15944  0.98877  -0.14944  0.5008  0.00025484  0.023873
0.16  0.98642  -0.16932  0.98723  -0.15932  0.50085  0.00027078  0.025465
0.17  0.98473  -0.17918  0.98558  -0.16918  0.5009  0.00028672  0.027056
0.18  0.98294  -0.18903  0.98384  -0.17903  0.50095  0.00030267  0.028648
0.19  0.98105  -0.19886  0.982  -0.18886  0.501  0.00031861  0.030239
0.2  0.97906  -0.20867  0.98007  -0.19867  0.50105  0.00033456  0.031831
0.21  0.97697  -0.21846  0.97803  -0.20846  0.5011  0.00035051  0.033423
0.22  0.97479  -0.22823  0.9759  -0.21823  0.50115  0.00036646  0.035014
0.23  0.97251  -0.23798  0.97367  -0.22798  0.5012  0.00038241  0.036606
0.24  0.97013  -0.24771  0.97134  -0.2377  0.50125  0.00039837  0.038197
0.25  0.96765  -0.25741  0.96891  -0.2474  0.5013  0.00041432  0.039789
0.26  0.96508  -0.26708  0.96639  -0.25708  0.50135  0.00043028  0.04138
0.27  0.9624  -0.27673  0.96377  -0.26673  0.5014  0.00044624  0.042972
0.28  0.95964  -0.28636  0.96106  -0.27636  0.50145  0.0004622  0.044563
0.29  0.95677  -0.29595  0.95824  -0.28595  0.5015  0.00047816  0.046155
0.3  0.95381  -0.30552  0.95534  -0.29552  0.50155  0.00049412  0.047746
0.31  0.95076  -0.31506  0.95233  -0.30506  0.5016  0.00051009  0.049338
0.32  0.94761  -0.32457  0.94924  -0.31457  0.50165  0.00052605  0.05093
0.33  0.94436  -0.33404  0.94604  -0.32404  0.5017  0.00054202  0.052521
0.34  0.94102  -0.34349  0.94275  -0.33349  0.50175  0.00055799  0.054113
0.35  0.93759  -0.3529  0.93937  -0.3429  0.5018  0.00057396  0.055704
0.36  0.93406  -0.36227  0.9359  -0.35227  0.50185  0.00058993  0.057296
0.37  0.93044  -0.37161  0.93233  -0.36162  0.5019  0.00060591  0.058887
0.38  0.92672  -0.38092  0.92866  -0.37092  0.50195  0.00062189  0.060479
0.39  0.92291  -0.39019  0.92491  -0.38019  0.502  0.00063786  0.06207
0.4  0.91901  -0.39941  0.92106  -0.38942  0.50205  0.00065384  0.063662
0.41  0.91501  -0.4086  0.91712  -0.39861  0.5021  0.00066982  0.065254
