# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0.073  2.8935  -0.17519  2.8245  -0.70991  19.335  1.2246e-11  0.03639
0.074  2.8934  -0.1776  2.8225  -0.71946  19.335  1.2401e-11  0.036888
0.075  2.8932  -0.18001  2.8204  -0.729  19.335  1.2554e-11  0.037387
0.076  2.893  -0.18243  2.8182  -0.73854  19.335  1.2708e-11  0.037885
0.077  2.8928  -0.18484  2.8161  -0.74807  19.335  1.286e-11  0.038384
0.078  2.8926  -0.18726  2.8139  -0.75759  19.335  1.3012e-11  0.038882
0.079  2.8925  -0.18968  2.8117  -0.76711  19.335  1.3163e-11  0.039381
0.08  2.8923  -0.19209  2.8094  -0.77661  19.335  1.3313e-11  0.039879
0.081  2.8921  -0.19452  2.8072  -0.78611  19.335  1.3463e-11  0.040378
0.082  2.8919  -0.19694  2.8049  -0.79561  19.335  1.3612e-11  0.040876
0.083  2.8917  -0.19937  2.8026  -0.80509  19.335  1.376e-11  0.041374
0.084  2.8915  -0.20179  2.8002  -0.81457  19.335  1.3907e-11  0.041873
0.085  2.8913  -0.20422  2.7978  -0.82403  19.335  1.4054e-11  0.042371
0.086  2.8911  -0.20665  2.7954  -0.8335  19.335  1.4199e-11  0.04287
0.087  2.8909  -0.20909  2.793  -0.84295  19.335  1.4344e-11  0.043368
0.088  2.8906  -0.21152  2.7905  -0.85239  19.335  1.4488e-11  0.043867
0.089  2.8904  -0.21396  2.7881  -0.86183  19.335  1.4631e-11  0.044365
0.09  2.8902  -0.2164  2.7855  -0.87125  19.335  1.4773e-11  0.044864
0.091  2.89  -0.21884  2.783  -0.88067  19.335  1.4915e-11  0.045362
0.092  2.8898  -0.22128  2.7804  -0.89008  19.335  1.5055e-11  0.045861
0.093  2.8896  -0.22373  2.7778  -0.89948  19.335  1.5194e-11  0.046359
0.094  2.8893  -0.22617  2.7752  -0.90888  19.335  1.5332e-11  0.046858
0.095  2.8891  -0.22862  2.7726  -0.91826  19.335  1.547e-11  0.047356
0.096  2.8889  -0.23108  2.7699  -0.92763  19.335  1.5606e-11  0.047855
0.097  2.8886  -0.23353  2.7672  -0.937  19.335  1.5741e-11  0.048353
0.098  2.8884  -0.23599  2.7645  -0.94635  19.335  1.5875e-11  0.048852
0.099  2.8882  -0.23844  2.7617  -0.9557  19.335  1.6007e-11  0.04935
0.1  2.8879  -0.2409  2.7589  -0.96504  19.335  1.6139e-11  0.049849
0.101  2.8877  -0.24337  2.7561  -0.97437  19.335  1.627e-11  0.050347
0.102  2.8874  -0.24583  2.7533  -0.98369  19.335  1.6399e-11  0.050846
0.103  2.8872  -0.2483  2.7504  -0.99299  19.335  1.6527e-11  0.051344
0.104  2.8869  -0.25077  2.7475  -1.0023  19.335  1.6654e-11  0.051843
0.105  2.8867  -0.25324  2.7446  -1.0116  19.335  1.6779e-11  0.052341
0.106  2.8864  -0.25572  2.7416  -1.0209  19.335  1.6903e-11  0.05284
0.107  2.8862  -0.25819  2.7387  -1.0301  19.335  1.7026e-11  0.053338
0.108  2.8859  -0.26067  2.7357  -1.0394  19.335  1.7147e-11  0.053837
0.109  2.8857  -0.26316  2.7326  -1.0486  19.335  1.7267e-11  0.054335
0.11  2.8854  -0.26564  2.7296  -1.0579  19.335  1.7386e-11  0.054834
0.111  2.8851  -0.26813  2.7265  -1.0671  19.335  1.7503e-11  0.055332
0.112  2.8849  -0.27062  2.7234  -1.0763  19.335  1.7618e-11  0.055831
0.113  2.8846  -0.27311  2.7203  -1.0855  19.335  1.7732e-11  0.056329
0.114  2.8843  -0.2756  2.7171  -1.0947  19.335  1.7845e-11  0.056828
0.115  2.884  -0.2781  2.7139  -1.1039  19.335  1.7955e-11  0.057326
0.116  2.8838  -0.2806  2.7107  -1.1131  19.335  1.8064e-11  0.057825
0.117  2.8835  -0.2831  2.7075  -1.1223  19.335  1.8172e-11  0.058323
0.118  2.8832  -0.28561  2.7042  -1.1314  19.335  1.8278e-11  0.058822
0.119  2.8829  -0.28812  2.7009  -1.1405  19.335  1.8382e-11  0.05932
0.12  2.8826  -0.29063  2.6976  -1.1497  19.335  1.8484e-11  0.059819
0.121  2.8823  -0.29314  2.6942  -1.1588  19.335  1.8584e-11  0.060317
0.122  2.882  -0.29566  2.6908  -1.1679  19.335  1.8683e-11  0.060816
0.123  2.8817  -0.29818  2.6874  -1.177  19.335  1.8779e-11  0.061314
0.124  2.8814  -0.3007  2.684  -1.1861  19.335  1.8874e-11  0.061813
0.125  2.8811  -0.30323  2.6806  -1.1952  19.335  1.8967e-11  0.062311
0.126  2.8808  -0.30575  2.6771  -1.2042  19.335  1.9057e-11  0.062809
0.127  2.8805  -0.30828  2.6736  -1.2133  19.335  1.9146e-11  0.063308
0.128  2.8802  -0.31082  2.6701  -1.2223  19.335  1.9233e-11  0.063806
0.129  2.8799  -0.31335  2.6665  -1.2313  19.335  1.9317e-11  0.064305
0.13  2.8796  -0.31589  2.6629  -1.2404  19.335  1.9399e-11  0.064803
0.131  2.8793  -0.31844  2.6593  -1.2494  19.335  1.948e-11  0.065302
0.132  2.8789  -0.32098  2.6557  -1.2583  19.335  1.9557e-11  0.0658
0.133  2.8786  -0.32353  2.652  -1.2673  19.335  1.9633e-11  0.066299
0.134  2.8783  -0.32608  2.6483  -1.2763  19.335  1.9706e-11  0.066797
0.135  2.878  -0.32864  2.6446  -1.2852  19.335  1.9777e-11  0.067296
0.136  2.8776  -0.33119  2.6409  -1.2942  19.335  1.9845e-11  0.067794
0.137  2.8773  -0.33375  2.6371  -1.3031  19.335  1.9911e-11  0.068293
0.138  2.877  -0.33632  2.6333  -1.312  19.335  1.9975e-11  0.068791
0.139  2.8766  -0.33889  2.6295  -1.3209  19.335  2.0036e-11  0.06929
