# time  thetat  wt  thetasmall  wsmall  Et  dE/T  t/T
0  2.4086  0  2.4086  0  17.1  0  0
0  2.4086  -0.0065642  2.4086  0  17.1  1.0356e-16  0
0.001  2.4085  -0.013128  2.4085  -0.023628  17.1  0  0.00049849
0.002  2.4085  -0.019693  2.4085  -0.047256  17.1  0  0.00099698
0.003  2.4085  -0.026257  2.4084  -0.070883  17.1  1.0356e-16  0.0014955
0.004  2.4085  -0.032822  2.4084  -0.094509  17.1  1.0356e-16  0.001994
0.005  2.4084  -0.039387  2.4083  -0.11813  17.1  1.0356e-16  0.0024924
0.006  2.4084  -0.045952  2.4081  -0.14176  17.1  1.0356e-16  0.0029909
0.007  2.4083  -0.052517  2.408  -0.16538  17.1  1.0356e-16  0.0034894
0.008  2.4083  -0.059083  2.4078  -0.189  17.1  2.0713e-16  0.0039879
0.009  2.4082  -0.06565  2.4076  -0.21262  17.1  2.0713e-16  0.0044864
0.01  2.4082  -0.072216  2.4074  -0.23624  17.1  1.0356e-16  0.0049849
0.011  2.4081  -0.078784  2.4071  -0.25986  17.1  1.0356e-16  0.0054834
0.012  2.408  -0.085352  2.4069  -0.28347  17.1  1.0356e-16  0.0059819
0.013  2.4079  -0.09192  2.4066  -0.30708  17.1  2.0713e-16  0.0064803
0.014  2.4078  -0.098489  2.4062  -0.33068  17.1  2.0713e-16  0.0069788
0.015  2.4077  -0.10506  2.4059  -0.35429  17.1  2.0713e-16  0.0074773
0.016  2.4076  -0.11163  2.4055  -0.37789  17.1  2.0713e-16  0.0079758
0.017  2.4075  -0.1182  2.4051  -0.40148  17.1  1.0356e-16  0.0084743
0.018  2.4074  -0.12477  2.4047  -0.42508  17.1  1.0356e-16  0.0089728
0.019  2.4072  -0.13135  2.4043  -0.44867  17.1  1.0356e-16  0.0094713
0.02  2.4071  -0.13792  2.4038  -0.47225  17.1  1.0356e-16  0.0099698
0.021  2.407  -0.1445  2.4033  -0.49583  17.1  3.1069e-16  0.010468
0.022  2.4068  -0.15107  2.4028  -0.5194  17.1  2.0713e-16  0.010967
0.023  2.4067  -0.15765  2.4023  -0.54297  17.1  3.1069e-16  0.011465
0.024  2.4065  -0.16423  2.4018  -0.56654  17.1  2.0713e-16  0.011964
0.025  2.4063  -0.17081  2.4012  -0.59009  17.1  3.1069e-16  0.012462
0.026  2.4062  -0.17739  2.4006  -0.61365  17.1  2.0713e-16  0.012961
0.027  2.406  -0.18397  2.3999  -0.63719  17.1  3.1069e-16  0.013459
0.028  2.4058  -0.19056  2.3993  -0.66073  17.1  3.1069e-16  0.013958
0.029  2.4056  -0.19714  2.3986  -0.68427  17.1  3.1069e-16  0.014456
0.03  2.4054  -0.20373  2.3979  -0.70779  17.1  4.1426e-16  0.014955
0.031  2.4052  -0.21031  2.3972  -0.73132  17.1  3.1069e-16  0.015453
0.032  2.405  -0.2169  2.3965  -0.75483  17.1  4.1426e-16  0.015952
0.033  2.4048  -0.2235  2.3957  -0.77833  17.1  3.1069e-16  0.01645
0.034  2.4045  -0.23009  2.3949  -0.80183  17.1  4.1426e-16  0.016949
0.035  2.4043  -0.23668  2.3941  -0.82532  17.1  4.1426e-16  0.017447
0.036  2.4041  -0.24328  2.3933  -0.8488  17.1  5.1782e-16  0.017946
