5 2309 7691 49.0599 188.442
15 1527 6164 40.0864 134.139
25 1145 5019 34.8489 93.5258
35 814 4205 29.5438 64.7008
45 556 3649 24.5956 45.1818
55 402 3247 21.0686 31.1257
65 261 2986 17.1787 22.4899
75 201 2785 15.2039 15.6564
85 140 2645 12.8638 11.1916
95 97 2548 10.8869 8.27197
105 70 2478 9.4113 6.18105
115 50 2428 8.1239 4.80878
125 46 2382 7.8374 3.75707
135 32 2350 6.72276 2.99624
145 24 2326 5.97494 2.62896
155 36 2290 7.06218 2.07804
165 20 2270 5.55522 1.88986
175 19 2251 5.4441 1.56079
185 23 2228 5.8734 1.44164
195 13 2215 4.7081 1.36353
205 19 2196 5.4441 1.28201
215 14 2182 4.84057 1.27406
225 9 2173 4.1225 1.23359
235 14 2159 4.84057 1.22564
245 11 2148 4.42783 1.21939
255 11 2137 4.42783 1.21315
265 12 2125 4.57071 1.20634
275 18 2107 5.33013 1.19612
285 11 2096 4.42783 1.18987
295 14 2082 4.84057 1.18193
305 11 2071 4.42783 1.17568
315 8 2063 3.95804 1.17114
325 12 2051 4.57071 1.16433
335 11 2040 4.42783 1.15808
345 13 2027 4.7081 1.1507
355 12 2015 4.57071 1.14389
365 10 2005 4.27872 1.13821
375 8 1997 3.95804 1.13367
385 10 1987 4.27872 1.128
395 9 1978 4.1225 1.12289
405 10 1968 4.27872 1.11721
415 12 1956 4.57071 1.1104
425 6 1950 3.59808 1.10699
435 9 1941 4.1225 1.10188
445 12 1929 4.57071 1.09507
455 7 1922 3.78388 1.0911
465 11 1911 4.42783 1.08485
475 13 1898 4.7081 1.07747
485 14 1884 4.84057 1.06952
495 11 1873 4.42783 1.06328
505 14 1859 4.84057 1.05533
515 14 1845 4.84057 1.04738
525 10 1835 4.27872 1.04171
535 10 1825 4.27872 1.03603
545 10 1815 4.27872 1.03035
555 12 1803 4.57071 1.02354
565 6 1797 3.59808 1.02014
575 6 1791 3.59808 1.01673
585 6 1785 3.59808 1.01332
595 11 1774 4.42783 1.00708
605 14 1760 4.84057 0.999131
615 6 1754 3.59808 0.995725
625 18 1736 5.33013 0.985507
635 8 1728 3.95804 0.980965
645 5 1723 3.39792 0.978127
655 10 1713 4.27872 0.97245
665 11 1702 4.42783 0.966205
675 4 1698 3.17945 0.963934
685 9 1689 4.1225 0.958825
695 8 1681 3.95804 0.954284
705 7 1674 3.78388 0.95031
715 12 1662 4.57071 0.943498
725 9 1653 4.1225 0.938388
735 10 1643 4.27872 0.932712
745 10 1633 4.27872 0.927035
755 5 1628 3.39792 0.924196
765 7 1621 3.78388 0.920222
775 11 1610 4.42783 0.913978
785 4 1606 3.17945 0.911707
795 6 1600 3.59808 0.908301
805 6 1594 3.59808 0.904895
815 12 1582 4.57071 0.898083
825 8 1574 3.95804 0.893541
835 11 1563 4.42783 0.887297
845 8 1555 3.95804 0.882755
855 12 1543 4.57071 0.875943
865 8 1535 3.95804 0.871401
875 6 1529 3.59808 0.867995
885 11 1518 4.42783 0.861751
895 13 1505 4.7081 0.854371
905 11 1494 4.42783 0.848126
915 7 1487 3.78388 0.844152
925 7 1480 3.78388 0.840178
935 8 1472 3.95804 0.835637
945 8 1464 3.95804 0.831095
955 9 1455 4.1225 0.825986
965 8 1447 3.95804 0.821445
975 6 1441 3.59808 0.818039
985 10 1431 4.27872 0.812362
995 8 1423 3.95804 0.80782
1005 1 1422 2.32288 0.807252
1015 6 1416 3.59808 0.803846
1025 8 1408 3.95804 0.799305
1035 8 1400 3.95804 0.794763
1045 8 1392 3.95804 0.790222
1055 11 1381 4.42783 0.783977
1065 5 1376 3.39792 0.781139
1075 7 1369 3.78388 0.777165
1085 7 1362 3.78388 0.773191
1095 7 1355 3.78388 0.769217
1105 10 1345 4.27872 0.763541
1115 10 1335 4.27872 0.757864
1125 9 1326 4.1225 0.752754
1135 12 1314 4.57071 0.745942
1145 7 1307 3.78388 0.741968
1155 8 1299 3.95804 0.737427
1165 9 1290 4.1225 0.732318
1175 9 1281 4.1225 0.727208
1185 11 1270 4.42783 0.720964
1195 5 1265 3.39792 0.718125
1205 6 1259 3.59808 0.714719
1215 7 1252 3.78388 0.710746
1225 13 1239 4.7081 0.703366
1235 6 1233 3.59808 0.699959
1245 6 1227 3.59808 0.696553
1255 8 1219 3.95804 0.692012
1265 8 1211 3.95804 0.68747
1275 4 1207 3.17945 0.6852
1285 8 1199 3.95804 0.680658
1295 12 1187 4.57071 0.673846
1305 6 1181 3.59808 0.67044
1315 3 1178 2.93649 0.668737
1325 7 1171 3.78388 0.664763
1335 9 1162 4.1225 0.659654
1345 1 1161 2.32288 0.659086
1355 8 1153 3.95804 0.654544
1365 6 1147 3.59808 0.651138
1375 5 1142 3.39792 0.6483
1385 10 1132 4.27872 0.642623
1395 6 1126 3.59808 0.639217
1405 9 1117 4.1225 0.634108
1415 9 1108 4.1225 0.628998
1425 3 1105 2.93649 0.627295
1435 9 1096 4.1225 0.622186
1445 9 1087 4.1225 0.617077
1455 4 1083 3.17945 0.614806
1465 7 1076 3.78388 0.610832
1475 2 1074 2.65831 0.609697
1485 10 1064 4.27872 0.60402
1495 7 1057 3.78388 0.600046
1505 5 1052 3.39792 0.597208
1515 4 1048 3.17945 0.594937
1525 10 1038 4.27872 0.58926
1535 2 1036 2.65831 0.588125
1545 7 1029 3.78388 0.584151
1555 10 1019 4.27872 0.578474
1565 7 1012 3.78388 0.5745
1575 4 1008 3.17945 0.57223
1585 3 1005 2.93649 0.570527
1595 6 999 3.59808 0.56712
1605 8 991 3.95804 0.562579
