5 16 4984
15 9 4975
25 17 4958
35 15 4943
45 13 4930
55 12 4918
65 12 4906
75 14 4892
85 9 4883
95 10 4873
105 11 4862
115 19 4843
125 14 4829
135 19 4810
145 10 4800
155 15 4785
165 11 4774
175 23 4751
185 12 4739
195 10 4729
205 14 4715
215 10 4705
225 15 4690
235 9 4681
245 11 4670
255 15 4655
265 14 4641
275 14 4627
285 5 4622
295 10 4612
305 11 4601
315 16 4585
325 12 4573
335 12 4561
345 17 4544
355 6 4538
365 8 4530
375 7 4523
385 15 4508
395 12 4496
405 10 4486
415 21 4465
425 10 4455
435 15 4440
445 9 4431
455 8 4423
465 12 4411
475 9 4402
485 10 4392
495 14 4378
505 10 4368
515 17 4351
525 10 4341
535 13 4328
545 7 4321
555 12 4309
565 11 4298
575 11 4287
585 10 4277
595 14 4263
605 16 4247
615 11 4236
625 10 4226
635 8 4218
645 7 4211
655 9 4202
665 15 4187
675 12 4175
685 10 4165
695 12 4153
705 11 4142
715 11 4131
725 17 4114
735 14 4100
745 11 4089
755 5 4084
765 11 4073
775 13 4060
785 12 4048
795 16 4032
805 6 4026
815 5 4021
825 6 4015
835 11 4004
845 12 3992
855 8 3984
865 6 3978
875 15 3963
885 5 3958
895 8 3950
905 10 3940
915 10 3930
925 15 3915
935 6 3909
945 13 3896
955 14 3882
965 11 3871
975 9 3862
985 12 3850
995 13 3837
1005 9 3828
1015 11 3817
1025 16 3801
1035 4 3797
1045 6 3791
1055 12 3779
1065 7 3772
1075 17 3755
1085 14 3741
1095 7 3734
1105 12 3722
1115 13 3709
1125 14 3695
1135 12 3683
1145 8 3675
1155 4 3671
1165 13 3658
1175 14 3644
1185 16 3628
1195 10 3618
1205 11 3607
1215 9 3598
1225 14 3584
1235 7 3577
1245 9 3568
1255 7 3561
1265 12 3549
1275 6 3543
1285 13 3530
1295 11 3519
1305 5 3514
1315 7 3507
1325 9 3498
1335 9 3489
1345 12 3477
1355 13 3464
1365 8 3456
1375 10 3446
1385 11 3435
1395 5 3430
1405 10 3420
1415 11 3409
1425 11 3398
1435 5 3393
1445 7 3386
1455 7 3379
1465 7 3372
1475 10 3362
1485 8 3354
1495 9 3345
1505 8 3337
1515 8 3329
1525 10 3319
1535 10 3309
1545 9 3300
1555 4 3296
1565 9 3287
1575 4 3283
1585 11 3272
1595 7 3265
1605 7 3258
1615 10 3248
1625 6 3242
1635 7 3235
1645 7 3228
1655 9 3219
1665 5 3214
1675 14 3200
1685 9 3191
1695 7 3184
1705 10 3174
1715 12 3162
1725 6 3156
1735 6 3150
1745 8 3142
1755 5 3137
1765 5 3132
1775 3 3129
1785 11 3118
1795 8 3110
1805 5 3105
1815 8 3097
1825 5 3092
1835 7 3085
1845 6 3079
1855 12 3067
1865 7 3060
1875 4 3056
1885 9 3047
1895 9 3038
1905 7 3031
1915 11 3020
1925 9 3011
1935 12 2999
1945 7 2992
1955 11 2981
1965 4 2977
1975 6 2971
1985 10 2961
1995 7 2954
2005 8 2946
2015 7 2939
2025 11 2928
2035 9 2919
2045 6 2913
2055 7 2906
2065 6 2900
2075 12 2888
2085 10 2878
2095 4 2874
2105 11 2863
2115 7 2856
2125 4 2852
2135 8 2844
2145 4 2840
2155 4 2836
2165 9 2827
2175 9 2818
2185 7 2811
2195 10 2801
2205 7 2794
2215 6 2788
2225 6 2782
2235 12 2770
2245 4 2766
2255 6 2760
2265 7 2753
2275 12 2741
2285 11 2730
2295 8 2722
2305 9 2713
2315 9 2704
2325 10 2694
2335 7 2687
2345 5 2682
2355 6 2676
2365 12 2664
2375 6 2658
2385 12 2646
2395 3 2643
2405 9 2634
2415 8 2626
2425 6 2620
2435 12 2608
2445 10 2598
2455 9 2589
2465 6 2583
2475 1 2582
2485 6 2576
2495 13 2563
2505 6 2557
2515 6 2551
2525 4 2547
2535 5 2542
2545 7 2535
2555 4 2531
2565 4 2527
2575 7 2520
2585 3 2517
2595 8 2509
2605 6 2503
