i	t	sum
200	-5.976	4.43914e-27
201	-5.97588	4.49662e-27
202	-5.97576	4.55092e-27
203	-5.97564	4.60186e-27
204	-5.97552	4.64931e-27
205	-5.9754	4.69319e-27
206	-5.97528	4.73342e-27
207	-5.97516	4.76999e-27
208	-5.97504	4.80289e-27
209	-5.97492	4.83218e-27
210	-5.9748	4.85792e-27
211	-5.97468	4.88023e-27
212	-5.97456	4.89924e-27
213	-5.97444	4.91514e-27
214	-5.97432	4.92813e-27
215	-5.9742	4.93844e-27
216	-5.97408	4.94633e-27
217	-5.97396	4.9521e-27
218	-5.97384	4.95604e-27
219	-5.97372	4.95849e-27
220	-5.9736	4.9598e-27
221	-5.97348	4.96032e-27
222	-5.97336	4.96043e-27
223	-5.97324	4.96052e-27
224	-5.97312	4.96096e-27
225	-5.973	4.96216e-27
226	-5.97288	4.9645e-27
227	-5.97276	4.96838e-27
228	-5.97264	4.97417e-27
229	-5.97252	4.98225e-27
230	-5.9724	4.99299e-27
231	-5.97228	5.00672e-27
232	-5.97216	5.02379e-27
233	-5.97204	5.0445e-27
234	-5.97192	5.06914e-27
235	-5.9718	5.09798e-27
236	-5.97168	5.13125e-27
237	-5.97156	5.16917e-27
238	-5.97144	5.21192e-27
239	-5.97132	5.25965e-27
240	-5.9712	5.31248e-27
241	-5.97108	5.3705e-27
242	-5.97096	5.43376e-27
243	-5.97084	5.50228e-27
244	-5.97072	5.57606e-27
245	-5.9706	5.65503e-27
246	-5.97048	5.73913e-27
247	-5.97036	5.82823e-27
248	-5.97024	5.9222e-27
249	-5.97012	6.02086e-27
250	-5.97	6.12401e-27
251	-5.96988	6.2314e-27
252	-5.96976	6.34278e-27
253	-5.96964	6.45787e-27
254	-5.96952	6.57635e-27
255	-5.9694	6.6979e-27
256	-5.96928	6.82217e-27
257	-5.96916	6.94879e-27
258	-5.96904	7.07738e-27
259	-5.96892	7.20755e-27
260	-5.9688	7.33891e-27
261	-5.96868	7.47104e-27
262	-5.96856	7.60353e-27
263	-5.96844	7.73598e-27
264	-5.96832	7.86796e-27
265	-5.9682	7.99908e-27
266	-5.96808	8.12893e-27
267	-5.96796	8.25711e-27
268	-5.96784	8.38325e-27
269	-5.96772	8.50698e-27
270	-5.9676	8.62794e-27
271	-5.96748	8.7458e-27
272	-5.96736	8.86023e-27
273	-5.96724	8.97095e-27
274	-5.96712	9.07769e-27
275	-5.967	9.1802e-27
276	-5.96688	9.27825e-27
277	-5.96676	9.37165e-27
278	-5.96664	9.46025e-27
279	-5.96652	9.54389e-27
280	-5.9664	9.62249e-27
281	-5.96628	9.69595e-27
282	-5.96616	9.76425e-27
283	-5.96604	9.82736e-27
284	-5.96592	9.88531e-27
285	-5.9658	9.93814e-27
286	-5.96568	9.98594e-27
287	-5.96556	1.00288e-26
288	-5.96544	1.00669e-26
289	-5.96532	1.01004e-26
290	-5.9652	1.01295e-26
291	-5.96508	1.01544e-26
292	-5.96496	1.01753e-26
293	-5.96484	1.01926e-26
294	-5.96472	1.02065e-26
295	-5.9646	1.02174e-26
296	-5.96448	1.02256e-26
297	-5.96436	1.02315e-26
298	-5.96424	1.02354e-26
299	-5.96412	1.02377e-26
300	-5.964	1.02389e-26
301	-5.96388	1.02393e-26
302	-5.96376	1.02393e-26
303	-5.96364	1.02395e-26
304	-5.96352	1.02402e-26
305	-5.9634	1.02419e-26
306	-5.96328	1.0245e-26
307	-5.96316	1.02499e-26
308	-5.96304	1.02571e-26
309	-5.96292	1.0267e-26
310	-5.9628	1.02801e-26
311	-5.96268	1.02967e-26
312	-5.96256	1.03173e-26
313	-5.96244	1.03422e-26
314	-5.96232	1.03718e-26
315	-5.9622	1.04066e-26
316	-5.96208	1.04467e-26
317	-5.96196	1.04926e-26
318	-5.96184	1.05446e-26
319	-5.96172	1.06029e-26
320	-5.9616	1.06679e-26
321	-5.96148	1.07397e-26
322	-5.96136	1.08186e-26
323	-5.96124	1.09048e-26
324	-5.96112	1.09984e-26
325	-5.961	1.10996e-26
326	-5.96088	1.12085e-26
327	-5.96076	1.13252e-26
328	-5.96064	1.14498e-26
329	-5.96052	1.15823e-26
330	-5.9604	1.17228e-26
331	-5.96028	1.18711e-26
332	-5.96016	1.20273e-26
333	-5.96004	1.21913e-26
334	-5.95992	1.23631e-26
335	-5.9598	1.25424e-26
336	-5.95968	1.27292e-26
337	-5.95956	1.29232e-26
338	-5.95944	1.31244e-26
339	-5.95932	1.33325e-26
340	-5.9592	1.35472e-26
341	-5.95908	1.37684e-26
342	-5.95896	1.39957e-26
343	-5.95884	1.42289e-26
344	-5.95872	1.44676e-26
345	-5.9586	1.47116e-26
346	-5.95848	1.49605e-26
347	-5.95836	1.52139e-26
