# i	Trapez_int	Trapez_sum	Simpson
3	0.00735294118	0.00735294118	0.0196078431
5	0.00821039963	0.0155633408	0.0169924382
7	0.00386975872	0.0194330995	0.0089047538
9	0.00414168078	0.0235747803	0.00557088232
11	0.00243434583	0.0260091261	0.00520731965
13	0.00585230212	0.0318614283	0.0130262998
15	0.00389046634	0.0357518946	0.00917763197
17	0.00320583244	0.038957727	0.005787766
19	0.00373358074	0.0426913078	0.00888899775
21	0.00359897721	0.046290285	0.00797437533
23	0.00517851657	0.0514688016	0.0099070758
25	0.00463675724	0.0561055588	0.00846315122
27	0.00399342181	0.0600989806	0.00914239191
29	0.00513077149	0.0652297521	0.0110884131
31	0.0029344506	0.0681642027	0.00528434159
33	0.00317781823	0.0713420209	0.00633696031
35	0.00395833028	0.0753003512	0.00856336776
37	0.00486970207	0.0801700533	0.0104968184
39	0.0051265452	0.0852965985	0.0110826481
41	0.00351224938	0.0888088479	0.00696668021
43	0.00467538321	0.0934842311	0.0096271167
45	0.0043087793	0.0977930104	0.00803773376
47	0.00427088901	0.102063899	0.00858933334
49	0.00445287376	0.106516773	0.00878315853
51	0.00448379576	0.111000569	0.00955903296
53	0.00429305145	0.11529362	0.008785856
55	0.0036105709	0.118904191	0.00731798981
57	0.00542067947	0.124324871	0.0110346309
59	0.00461305323	0.128937924	0.00945752109
61	0.00345253023	0.132390454	0.00725044688
63	0.00329903865	0.135689493	0.0070123384
65	0.00333809183	0.139027585	0.00678303274
67	0.00395316267	0.142980747	0.00814477609
69	0.00339389805	0.146374645	0.00641150796
71	0.00350354039	0.149878186	0.00718965453
73	0.00411905522	0.153997241	0.00773767921
75	0.0037630816	0.157760323	0.00748290631
77	0.00454134517	0.162301668	0.00869255699
79	0.00373788457	0.166039552	0.00780082858
81	0.00348530325	0.169524856	0.00695264242
83	0.00395245011	0.173477306	0.00802901369
85	0.00521901538	0.178696321	0.0108004522
87	0.00400758974	0.182703911	0.0080888539
89	0.00443135598	0.187135267	0.00894442974
91	0.0035941356	0.190729402	0.00688634103
93	0.00472419637	0.195453599	0.00975059765
95	0.00426139928	0.199714998	0.00920794856
97	0.00421694847	0.203931947	0.00827661342
99	0.00440632587	0.208338272	0.00884000109
101	0.00404159728	0.21237987	0.00778839556
103	0.00446937792	0.216849248	0.00892816713
105	0.00399114888	0.220840396	0.00778102938
107	0.00413381505	0.224974212	0.00812256755
109	0.00450983823	0.22948405	0.009619188
111	0.00468486798	0.234168918	0.00926950044
113	0.00466255595	0.238831474	0.00881969621
115	0.00385537087	0.242686845	0.00825816443
117	0.0043750326	0.247061877	0.00859138479
119	0.00391313081	0.250975008	0.00839296208
121	0.00382537767	0.254800386	0.00789932029
123	0.0048675432	0.259667929	0.0095695161
125	0.00383656358	0.263504492	0.00803147712
127	0.0045165573	0.26802105	0.00897649496
129	0.00326084984	0.2712819	0.00647020503
131	0.0037416078	0.275023507	0.00749596779
133	0.00396845867	0.278991966	0.00794711467
135	0.00433890588	0.283330872	0.00861969074
137	0.00360026758	0.28693114	0.00733811483
139	0.00405986649	0.290991006	0.00744048748
141	0.00421332676	0.295204333	0.00889984442
143	0.00403266531	0.299236998	0.00790735304
145	0.0041817608	0.303418759	0.00840532531
147	0.0038436624	0.307262421	0.00729113571
149	0.00374267098	0.311005092	0.00747173488
151	0.00408399961	0.315089092	0.00775496325
153	0.0044204527	0.319509545	0.00876031041
155	0.00467729854	0.324186843	0.00923599045
157	0.0037359015	0.327922745	0.00747048097
159	0.00486885587	0.3327916	0.00931767951
161	0.00347783868	0.336269439	0.00695070098
163	0.00394419612	0.340213635	0.00789710119
165	0.00407595999	0.344289595	0.00823425989
167	0.00399448013	0.348284075	0.00791760967
169	0.00484084462	0.35312492	0.00942957539
171	0.00467436881	0.357799289	0.00961830036
173	0.00419316015	0.361992449	0.0085100339
175	0.00476881226	0.366761261	0.0095987373
177	0.00402990454	0.370791166	0.0077921748
179	0.00424844081	0.375039607	0.00820644159
181	0.00418246189	0.379222068	0.00875714131
183	0.00426366698	0.383485735	0.00917275239
185	0.00469573502	0.38818147	0.0093724958
187	0.0038332985	0.392014769	0.00780242369
189	0.00482844121	0.39684321	0.0100349104
191	0.00423694843	0.401080159	0.0087997482
193	0.0037648377	0.404844996	0.00722826822
195	0.00403714498	0.408882141	0.00778274071
197	0.00479925913	0.4136814	0.00986047376
199	0.00426302479	0.417944425	0.00905240805
201	0.00408326259	0.422027688	0.00819430206
203	0.00373868683	0.425766375	0.00721715794
205	0.00421559327	0.429981968	0.00826199679
207	0.00431742106	0.434299389	0.00880498388
209	0.00430743141	0.43860682	0.00882571784
211	0.00414996255	0.442756783	0.00839954111
213	0.00394768791	0.446704471	0.00777129105
215	0.00461536976	0.451319841	0.00963173445
217	0.00402600567	0.455345846	0.00772945629
219	0.00424755911	0.459593405	0.00847317167
221	0.00447780227	0.464071208	0.00881756072
223	0.00391165124	0.467982859	0.00830675518
225	0.00456961111	0.47255247	0.00907725898
227	0.00414227179	0.476694742	0.00795214292
229	0.00423613162	0.480930873	0.00872610372
231	0.00443130271	0.485362176	0.008709252
233	0.00420757014	0.489569746	0.00830349862
235	0.00368192878	0.493251675	0.0075564356
237	0.00451593144	0.497767606	0.00943372996
239	0.0043042492	0.502071856	0.0091526279
241	0.00403286186	0.506104718	0.00820404652
243	0.00437955572	0.510484273	0.00873575873
245	0.00468451211	0.515168785	0.00924700349
247	0.00410983711	0.519278622	0.00804683872
249	0.00384497472	0.523123597	0.00769555685
251	0.0049294196	0.528053017	0.00992907955
253	0.00482852098	0.532881538	0.00986501775
255	0.00502527395	0.537906812	0.00949631467
257	0.00404337182	0.541950184	0.00860842497
259	0.00383816976	0.545788353	0.00781311108
261	0.00422744686	0.5500158	0.00877878644
263	0.00442003241	0.554435833	0.00886105666
265	0.0044820716	0.558917904	0.00930655182
267	0.00396832331	0.562886227	0.00798518684
269	0.00431572247	0.56720195	0.00861598933
271	0.00379044832	0.570992398	0.00741447971
273	0.00398620777	0.574978606	0.00822970899
275	0.00334099753	0.578319604	0.00668936636
277	0.00427634658	0.58259595	0.00869701322
279	0.0043349495	0.5869309	0.00837597438
281	0.00402959876	0.590960498	0.00793671218
283	0.00453453083	0.595495029	0.00928151004
285	0.00435583247	0.599850862	0.0089271097
287	0.00501880838	0.60486967	0.0103415384
289	0.00431380966	0.60918348	0.0087156519
291	0.0044314111	0.613614891	0.00853845101
293	0.0042997649	0.617914656	0.00890359814
295	0.00457431676	0.622488972	0.00904402661
297	0.00405486702	0.626543839	0.00831786473
299	0.00456154417	0.631105384	0.00924883462
301	0.00399554086	0.635100925	0.00793210921
303	0.00433948244	0.639440407	0.00888492688
305	0.00420246721	0.643642874	0.00825961075
307	0.00427191492	0.647914789	0.00851280102
309	0.00480965542	0.652724445	0.00970754875
311	0.00376958976	0.656494034	0.00768556021
313	0.00378035687	0.660274391	0.00759035065
315	0.00445494142	0.664729333	0.00915450056
317	0.00438939631	0.669118729	0.00845915292
319	0.00414352735	0.673262256	0.00832257176
321	0.00417914051	0.677441397	0.00882581558
323	0.00462463099	0.682066028	0.00923459683
325	0.0040710401	0.686137068	0.00822664285
327	0.00410723889	0.690244307	0.00852201141
329	0.00445990655	0.694704213	0.00917577748
331	0.00421114177	0.698915355	0.00815939523
333	0.0040919511	0.703007306	0.00824888285
335	0.00466390849	0.707671215	0.00938595718
337	0.00446024204	0.712131457	0.00866674904
339	0.00453625592	0.716667713	0.00924506572
341	0.00444846093	0.721116174	0.00874631661
343	0.00410047734	0.725216651	0.00854193777
345	0.00429231957	0.72950897	0.00865074543
347	0.00441611846	0.733925089	0.00880327001
349	0.00468660004	0.738611689	0.00931839192
351	0.00428666796	0.742898357	0.00879496147
353	0.00419763551	0.747095992	0.00850709166
355	0.00449862293	0.751594615	0.00911518779
357	0.00434724416	0.755941859	0.00876035723
359	0.00399806189	0.759939921	0.00816611142
361	0.00406922456	0.764009146	0.00806295756
363	0.00444495975	0.768454106	0.009078874
365	0.00430538084	0.772759487	0.00863857092
367	0.00485660321	0.77761609	0.00945502035
369	0.00442938927	0.782045479	0.00868121472
371	0.00431172823	0.786357207	0.0084051825
373	0.00408782284	0.79044503	0.00834532857
375	0.00448561176	0.794930642	0.0089024339
377	0.00448573723	0.799416379	0.00874300514
379	0.00417251109	0.80358889	0.00842330839
381	0.00441702178	0.808005912	0.00895409247
383	0.00415655241	0.812162464	0.00805675885
385	0.00393536965	0.816097834	0.00798442728
