2285 4 439 3.17945
2295 1 438 2.32288
2305 4 434 3.17945
2315 5 429 3.39792
2325 4 425 3.17945
2335 3 422 2.93649
2345 3 419 2.93649
2355 7 412 3.78388
2365 5 407 3.39792
2375 3 404 2.93649
2385 7 397 3.78388
2395 4 393 3.17945
2405 4 389 3.17945
2415 3 386 2.93649
2425 6 380 3.59808
2435 3 377 2.93649
2445 1 376 2.32288
2455 3 373 2.93649
2465 4 369 3.17945
2475 8 361 3.95804
2485 4 357 3.17945
2495 3 354 2.93649
2505 3 351 2.93649
2515 4 347 3.17945
2525 5 342 3.39792
2535 3 339 2.93649
2545 3 336 2.93649
2555 2 334 2.65831
2565 7 327 3.78388
2575 4 323 3.17945
2585 4 319 3.17945
2595 3 316 2.93649
2605 6 310 3.59808
2615 2 308 2.65831
2625 2 306 2.65831
2635 9 297 4.1225
2645 5 292 3.39792
2655 3 289 2.93649
2665 2 287 2.65831
2675 5 282 3.39792
2685 3 279 2.93649
2695 4 275 3.17945
2705 3 272 2.93649
2715 5 267 3.39792
2725 2 265 2.65831
2735 3 262 2.93649
2745 4 258 3.17945
2755 2 256 2.65831
2765 6 250 3.59808
2775 1 249 2.32288
2785 3 246 2.93649
2795 0 246 1.86603
2805 0 246 1.86603
2815 1 245 2.32288
2825 6 239 3.59808
2835 5 234 3.39792
2845 4 230 3.17945
2855 5 225 3.39792
2865 4 221 3.17945
2875 8 213 3.95804
2885 4 209 3.17945
2895 5 204 3.39792
2905 7 197 3.78388
2915 2 195 2.65831
2925 3 192 2.93649
2935 4 188 3.17945
2945 3 185 2.93649
2955 2 183 2.65831
2965 3 180 2.93649
2975 0 180 1.86603
2985 2 178 2.65831
2995 1 177 2.32288
3005 1 176 2.32288
3015 2 174 2.65831
3025 2 172 2.65831
3035 3 169 2.93649
3045 1 168 2.32288
3055 0 168 1.86603
3065 0 168 1.86603
3075 3 165 2.93649
3085 1 164 2.32288
3095 1 163 2.32288
3105 2 161 2.65831
3115 1 160 2.32288
3125 1 159 2.32288
3135 3 156 2.93649
3145 4 152 3.17945
3155 5 147 3.39792
3165 2 145 2.65831
3175 3 142 2.93649
3185 2 140 2.65831
3195 1 139 2.32288
3205 1 138 2.32288
3215 1 137 2.32288
3225 2 135 2.65831
3235 4 131 3.17945
3245 6 125 3.59808
3255 3 122 2.93649
3265 1 121 2.32288
3275 1 120 2.32288
3285 1 119 2.32288
3295 1 118 2.32288
3305 0 118 1.86603
3315 2 116 2.65831
3325 2 114 2.65831
3335 1 113 2.32288
3345 1 112 2.32288
3355 1 111 2.32288
3365 1 110 2.32288
3375 2 108 2.65831
3385 0 108 1.86603
3395 0 108 1.86603
3405 2 106 2.65831
3415 3 103 2.93649
3425 1 102 2.32288
3435 1 101 2.32288
3445 0 101 1.86603
3455 1 100 2.32288
3465 3 97 2.93649
3475 2 95 2.65831
3485 0 95 1.86603
3495 2 93 2.65831
3505 2 91 2.65831
3515 1 90 2.32288
3525 1 89 2.32288
3535 1 88 2.32288
3545 0 88 1.86603
3555 0 88 1.86603
3565 1 87 2.32288
3575 0 87 1.86603
3585 3 84 2.93649
3595 0 84 1.86603
3605 2 82 2.65831
3615 0 82 1.86603
3625 0 82 1.86603
3635 1 81 2.32288
3645 1 80 2.32288
3655 1 79 2.32288
3665 0 79 1.86603
3675 2 77 2.65831
3685 1 76 2.32288
3695 0 76 1.86603
3705 0 76 1.86603
3715 0 76 1.86603
3725 1 75 2.32288
3735 0 75 1.86603
3745 0 75 1.86603
3755 0 75 1.86603
3765 0 75 1.86603
3775 0 75 1.86603
3785 1 74 2.32288
3795 2 72 2.65831
3805 2 70 2.65831
3815 0 70 1.86603
3825 1 69 2.32288
3835 2 67 2.65831
3845 3 64 2.93649
3855 0 64 1.86603
3865 0 64 1.86603
3875 1 63 2.32288
3885 0 63 1.86603
3895 0 63 1.86603
3905 0 63 1.86603
3915 1 62 2.32288
3925 1 61 2.32288
3935 1 60 2.32288
3945 0 60 1.86603
3955 0 60 1.86603
3965 1 59 2.32288
3975 0 59 1.86603
3985 1 58 2.32288
3995 1 57 2.32288
4005 0 57 1.86603
4015 2 55 2.65831
4025 0 55 1.86603
4035 0 55 1.86603
4045 1 54 2.32288
4055 0 54 1.86603
4065 0 54 1.86603
4075 2 52 2.65831
4085 0 52 1.86603
4095 1 51 2.32288
4105 3 48 2.93649
4115 0 48 1.86603
