# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  0.95534  -0.2955  1  0  0.49999  1.5933e-06  0
0.3  0.82535  -0.5646  0.95534  -0.29552  0.49999  3.1866e-06  0.047746
0.6  0.62165  -0.78328  0.82534  -0.56464  0.49998  4.7799e-06  0.095493
0.9  0.36242  -0.93199  0.62161  -0.78333  0.49998  6.3732e-06  0.14324
1.2  0.070833  -0.99746  0.36236  -0.93204  0.49997  7.9664e-06  0.19099
1.5  -0.22708  -0.97385  0.070737  -0.99749  0.49997  9.5597e-06  0.23873
1.8  -0.50471  -0.86325  -0.2272  -0.97385  0.49996  1.1153e-05  0.28648
2.1  -0.73726  -0.67555  -0.50485  -0.86321  0.49996  1.2746e-05  0.33423
2.4  -0.90396  -0.42752  -0.73739  -0.67546  0.49995  1.4339e-05  0.38197
2.7  -0.98992  -0.14131  -0.90407  -0.42738  0.49995  1.5932e-05  0.42972
3  -0.98746  0.15752  -0.98999  -0.14112  0.49994  1.7526e-05  0.47746
3.3  -0.89681  0.44228  -0.98748  0.15775  0.49994  1.9119e-05  0.52521
3.6  -0.72606  0.68754  -0.89676  0.44252  0.49993  2.0712e-05  0.57296
3.9  -0.49047  0.87138  -0.72593  0.68777  0.49993  2.2305e-05  0.6207
4.2  -0.21107  0.97739  -0.49026  0.87158  0.49992  2.3898e-05  0.66845
4.5  0.08718  0.99611  -0.2108  0.97753  0.49992  2.5491e-05  0.7162
4.8  0.37764  0.92586  0.087499  0.99616  0.49991  2.7084e-05  0.76394
5.1  0.63436  0.77292  0.37798  0.92581  0.49991  2.8677e-05  0.81169
5.4  0.83443  0.55094  0.63469  0.77276  0.4999  3.027e-05  0.85944
5.7  0.95996  0.27976  0.83471  0.55069  0.4999  3.1863e-05  0.90718
6  0.99976  -0.016401  0.96017  0.27942  0.49989  3.3456e-05  0.95493
6.3  0.95026  -0.3111  0.99986  -0.016814  0.49989  3.5049e-05  1.0027
6.6  0.81589  -0.57801  0.95023  -0.31154  0.49988  3.6642e-05  1.0504
6.9  0.60865  -0.79329  0.81573  -0.57844  0.49988  3.8235e-05  1.0982
7.2  0.34705  -0.93771  0.60835  -0.79367  0.49987  3.9828e-05  1.1459
7.5  0.054457  -0.99839  0.34664  -0.938  0.49987  4.1421e-05  1.1937
7.8  -0.243  -0.96989  0.053955  -0.99854  0.49986  4.3014e-05  1.2414
8.1  -0.51875  -0.85476  -0.24354  -0.96989  0.49986  4.4607e-05  1.2892
8.4  -0.74816  -0.6633  -0.51929  -0.8546  0.49985  4.62e-05  1.3369
8.7  -0.91075  -0.41259  -0.74865  -0.66297  0.49985  4.7793e-05  1.3846
9  -0.992  -0.12504  -0.91113  -0.41212  0.49984  4.9385e-05  1.4324
9.3  -0.98464  0.17368  -0.99223  -0.12445  0.49984  5.0978e-05  1.4801
9.6  -0.88934  0.45689  -0.98469  0.17433  0.49983  5.2571e-05  1.5279
9.9  -0.71461  0.69928  -0.88919  0.45754  0.49983  5.4164e-05  1.5756
10.2  -0.47606  0.87922  -0.71427  0.69987  0.49982  5.5757e-05  1.6234
10.5  -0.19499  0.98062  -0.47554  0.8797  0.49982  5.7349e-05  1.6711
10.8  0.1035  0.99444  -0.19433  0.98094  0.49981  5.8942e-05  1.7189
11.1  0.39273  0.91945  0.10424  0.99455  0.49981  6.0535e-05  1.7666
11.4  0.64689  0.76233  0.39349  0.91933  0.4998  6.2127e-05  1.8144
11.7  0.84326  0.53713  0.6476  0.76198  0.4998  6.372e-05  1.8621
12  0.96432  0.26395  0.84385  0.53657  0.49979  6.5313e-05  1.9099
12.3  0.99925  -0.032793  0.96473  0.26323  0.49979  6.6906e-05  1.9576
12.6  0.94493  -0.32661  0.99943  -0.033623  0.49978  6.8498e-05  2.0054
12.9  0.80622  -0.59125  0.94486  -0.32747  0.49978  7.0091e-05  2.0531
13.2  0.5955  -0.80308  0.80588  -0.59207  0.49977  7.1683e-05  2.1008
13.5  0.33159  -0.94318  0.59492  -0.80378  0.49977  7.3276e-05  2.1486
13.8  0.03807  -0.99904  0.33081  -0.9437  0.49976  7.4869e-05  2.1963
14.1  -0.25885  -0.96567  0.037158  -0.99931  0.49976  7.6461e-05  2.2441
14.4  -0.53264  -0.84605  -0.25982  -0.96566  0.49975  7.8054e-05  2.2918
14.7  -0.75886  -0.65087  -0.53358  -0.84575  0.49975  7.9646e-05  2.3396
15  -0.9173  -0.39756  -0.75969  -0.65029  0.49974  8.1239e-05  2.3873
15.3  -0.99381  -0.10874  -0.91793  -0.39674  0.49974  8.2831e-05  2.4351
15.6  -0.98155  0.18979  -0.99418  -0.10775  0.49973  8.4424e-05  2.4828
15.9  -0.88163  0.47136  -0.98162  0.19086  0.49973  8.6016e-05  2.5306
16.2  -0.70297  0.71083  -0.88137  0.47242  0.49972  8.7609e-05  2.5783
16.5  -0.46152  0.88681  -0.7024  0.71179  0.49972  8.9201e-05  2.6261
16.8  -0.17886  0.98359  -0.46068  0.88757  0.49971  9.0794e-05  2.6738
17.1  0.11978  0.99251  -0.17781  0.98407  0.49971  9.2386e-05  2.7215
17.4  0.40772  0.91279  0.12094  0.99266  0.4997  9.3978e-05  2.7693
17.7  0.65923  0.75154  0.40889  0.91258  0.4997  9.5571e-05  2.817
18  0.85187  0.52317  0.66032  0.75099  0.49969  9.7163e-05  2.8648
18.3  0.96842  0.24807  0.85276  0.52231  0.49969  9.8755e-05  2.9125
18.6  0.99847  -0.049174  0.96902  0.24697  0.49968  0.00010035  2.9603
18.9  0.93935  -0.34203  0.99873  -0.050423  0.49968  0.00010194  3.008
19.2  0.79633  -0.60433  0.93922  -0.34331  0.49967  0.00010353  3.0558
19.5  0.58218  -0.81265  0.79581  -0.60554  0.49967  0.00010512  3.1035
19.8  0.31604  -0.94839  0.58132  -0.81367  0.49966  0.00010672  3.1513
20.1  0.021676  -0.99942  0.3149  -0.94912  0.49966  0.00010831  3.199
20.4  -0.27462  -0.96119  0.020351  -0.99979  0.49965  0.0001099  3.2468
20.7  -0.54639  -0.83711  -0.27602  -0.96115  0.49965  0.00011149  3.2945
21  -0.76935  -0.63827  -0.54773  -0.83666  0.49964  0.00011309  3.3423
21.3  -0.9236  -0.38242  -0.77051  -0.63742  0.49964  0.00011468  3.39
21.6  -0.99535  -0.092414  -0.92447  -0.38125  0.49963  0.00011627  3.4377
21.9  -0.97821  0.20584  -0.99585  -0.091022  0.49963  0.00011786  3.4855
22.2  -0.87369  0.48571  -0.97827  0.20734  0.49962  0.00011945  3.5332
22.5  -0.69114  0.72219  -0.8733  0.48717  0.49962  0.00012105  3.581
22.8  -0.44687  0.89417  -0.69033  0.72349  0.49961  0.00012264  3.6287
23.1  -0.16268  0.98628  -0.44569  0.89519  0.49961  0.00012423  3.6765
23.4  0.13603  0.99031  -0.16124  0.98692  0.4996  0.00012582  3.7242
23.7  0.42259  0.90588  0.13762  0.99049  0.4996  0.00012741  3.772
24  0.6714  0.74055  0.42418  0.90558  0.49959  0.00012901  3.8197
24.3  0.86025  0.50907  0.67285  0.73978  0.49959  0.0001306  3.8675
24.6  0.97226  0.23213  0.86142  0.5079  0.49958  0.00013219  3.9152
24.9  0.99743  -0.065537  0.97304  0.23065  0.49958  0.00013378  3.963
25.2  0.93351  -0.35735  0.99774  -0.067208  0.49957  0.00013537  4.0107
25.5  0.78622  -0.61724  0.93332  -0.35906  0.49957  0.00013697  4.0585
25.8  0.56871  -0.82201  0.78552  -0.61884  0.49956  0.00013856  4.1062
26.1  0.30041  -0.95335  0.56756  -0.82333  0.49956  0.00014015  4.1539
26.4  0.0052798  -0.99954  0.2989  -0.95429  0.49955  0.00014174  4.2017
26.7  -0.29032  -0.95646  0.0035375  -0.99999  0.49955  0.00014333  4.2494
27  -0.55999  -0.82795  -0.29214  -0.95638  0.49954  0.00014493  4.2972
27.3  -0.77964  -0.6255  -0.56172  -0.82733  0.49954  0.00014652  4.3449
27.6  -0.92965  -0.36718  -0.78112  -0.62438  0.49953  0.00014811  4.3927
27.9  -0.99663  -0.076067  -0.93075  -0.36565  0.49953  0.0001497  4.4404
28.2  -0.9746  0.22183  -0.99724  -0.074265  0.49952  0.00015129  4.4882
28.5  -0.86552  0.49992  -0.97465  0.22376  0.49952  0.00015289  4.5359
28.8  -0.67913  0.73335  -0.86499  0.50179  0.49951  0.00015448  4.5837
29.1  -0.4321  0.90128  -0.67807  0.735  0.49951  0.00015607  4.6314
29.4  -0.14647  0.98871  -0.43058  0.90255  0.4995  0.00015766  4.6792
29.7  0.15224  0.98784  -0.14462  0.98949  0.4995  0.00015925  4.7269
30  0.43734  0.89873  0.15425  0.98803  0.49949  0.00016084  4.7746
30.3  0.68339  0.72936  0.43935  0.89832  0.49949  0.00016244  4.8224
30.6  0.86839  0.49484  0.68519  0.72836  0.49948  0.00016403  4.8701
30.9  0.97583  0.21613  0.86984  0.49334  0.49948  0.00016562  4.9179
31.2  0.99611  -0.08188  0.97678  0.21425  0.49947  0.00016721  4.9656
31.5  0.92743  -0.37258  0.99647  -0.083974  0.49947  0.0001688  5.0134
31.8  0.77591  -0.62999  0.92715  -0.3747  0.49946  0.00017039  5.0611
32.1  0.5551  -0.83114  0.775  -0.63196  0.49946  0.00017199  5.1089
32.4  0.2847  -0.95805  0.55363  -0.83276  0.49945  0.00017358  5.1566
32.7  -0.011114  -0.99939  0.28281  -0.95918  0.49945  0.00017517  5.2044
33  -0.30594  -0.95147  -0.013277  -0.99991  0.49944  0.00017676  5.2521
33.3  -0.57343  -0.81857  -0.30818  -0.95133  0.49944  0.00017835  5.2999
33.6  -0.78971  -0.61256  -0.57555  -0.81777  0.49943  0.00017994  5.3476
33.9  -0.93545  -0.35184  -0.79151  -0.61116  0.49943  0.00018154  5.3954
34.2  -0.99764  -0.059704  -0.93677  -0.34995  0.49942  0.00018313  5.4431
34.5  -0.97072  0.23777  -0.99835  -0.057487  0.49942  0.00018472  5.4908
34.8  -0.85711  0.514  -0.97075  0.24011  0.49941  0.00018631  5.5386
35.1  -0.66694  0.74432  -0.85643  0.51626  0.49941  0.0001879  5.5863
35.4  -0.41721  0.90815  -0.66561  0.7463  0.4994  0.00018949  5.6341
35.7  -0.13022  0.99088  -0.41534  0.90967  0.4994  0.00019108  5.6818
36  0.1684  0.9851  -0.12796  0.99178  0.49939  0.00019268  5.7296
36.3  0.45198  0.89134  0.17084  0.9853  0.49939  0.00019427  5.7773
36.6  0.69519  0.71797  0.45439  0.8908  0.49938  0.00019586  5.8251
36.9  0.8763  0.48048  0.69734  0.71674  0.49938  0.00019745  5.8728
37.2  0.97914  0.20007  0.87801  0.47865  0.49937  0.00019904  5.9206
37.5  0.99453  -0.098197  0.98024  0.1978  0.49937  0.00020063  5.9683
37.8  0.9211  -0.3877  0.99492  -0.10072  0.49936  0.00020222  6.0161
38.1  0.76539  -0.64257  0.92071  -0.39024  0.49936  0.00020381  6.0638
38.4  0.54133  -0.84004  0.76427  -0.6449  0.49935  0.00020541  6.1115
38.7  0.26892  -0.96249  0.53955  -0.84195  0.49935  0.000207  6.1593
39  -0.027502  -0.99897  0.26664  -0.9638  0.49934  0.00020859  6.207
39.3  -0.32147  -0.94622  -0.030087  -0.99955  0.49934  0.00021018  6.2548
39.6  -0.58672  -0.80897  -0.32413  -0.94601  0.49933  0.00021177  6.3025
39.9  -0.79957  -0.59946  -0.58922  -0.80797  0.49933  0.00021336  6.3503
40.2  -0.941  -0.33642  -0.80167  -0.59776  0.49932  0.00021495  6.398
40.5  -0.99838  -0.043327  -0.94252  -0.33415  0.49932  0.00021654  6.4458
40.8  -0.96659  0.25363  -0.99917  -0.040693  0.49931  0.00021814  6.4935
41.1  -0.84848  0.52793  -0.96657  0.2564  0.49931  0.00021973  6.5413
41.4  -0.65458  0.75508  -0.84763  0.53059  0.4993  0.00022132  6.589
41.7  -0.40222  0.91478  -0.65297  0.75738  0.4993  0.00022291  6.6368
42  -0.11394  0.99278  -0.39999  0.91652  0.49929  0.0002245  6.6845
42.3  0.18452  0.98211  -0.11127  0.99379  0.49929  0.00022609  6.7323
42.6  0.46649  0.88372  0.18738  0.98229  0.49928  0.00022768  6.78
42.9  0.70679  0.7064  0.4693  0.88304  0.49928  0.00022927  6.8277
43.2  0.88397  0.46599  0.7093  0.70491  0.49927  0.00023086  6.8755
43.5  0.98219  0.18397  0.88593  0.46382  0.49927  0.00023246  6.9232
43.8  0.99268  -0.11448  0.98343  0.18129  0.49926  0.00023405  6.971
44.1  0.91452  -0.40271  0.99308  -0.11743  0.49926  0.00023564  7.0187
44.4  0.75467  -0.65496  0.91402  -0.40566  0.49925  0.00023723  7.0665
44.7  0.52743  -0.84872  0.75332  -0.65766  0.49925  0.00023882  7.1142
45  0.25307  -0.96667  0.52532  -0.8509  0.49924  0.00024041  7.162
45.3  -0.043879  -0.99828  0.2504  -0.96814  0.49924  0.000242  7.2097
45.6  -0.33691  -0.94072  -0.046889  -0.9989  0.49923  0.00024359  7.2575
45.9  -0.59985  -0.79915  -0.33999  -0.94043  0.49923  0.00024518  7.3052
46.2  -0.80921  -0.5862  -0.60272  -0.79795  0.49922  0.00024677  7.353
46.5  -0.94629  -0.3209  -0.81161  -0.5842  0.49922  0.00024836  7.4007
46.8  -0.99885  -0.026943  -0.948  -0.31826  0.49921  0.00024996  7.4485
47.1  -0.9622  0.26942  -0.99971  -0.023888  0.49921  0.00025155  7.4962
47.4  -0.83961  0.54172  -0.96212  0.27262  0.4992  0.00025314  7.5439
47.7  -0.64204  0.76563  -0.83859  0.54477  0.4992  0.00025473  7.5917
48  -0.38712  0.92116  -0.64014  0.76825  0.49919  0.00025632  7.6394
48.3  -0.097626  0.99441  -0.38452  0.92312  0.49919  0.00025791  7.6872
48.6  0.20058  0.97884  -0.094545  0.99552  0.49918  0.0002595  7.7349
48.9  0.48087  0.87586  0.20387  0.979  0.49918  0.00026109  7.7827
49.2  0.71821  0.69464  0.48408  0.87502  0.49917  0.00026268  7.8304
49.5  0.8914  0.45138  0.72105  0.69288  0.49917  0.00026427  7.8782
49.8  0.98497  0.16782  0.89361  0.44885  0.49916  0.00026586  7.9259
