0.109  0.99401  -0.10978  0.99407  -0.10878
0.11  0.9939  -0.11078  0.99396  -0.10978
0.111  0.99379  -0.11177  0.99385  -0.11077
0.112  0.99368  -0.11277  0.99373  -0.11177
0.113  0.99357  -0.11376  0.99362  -0.11276
0.114  0.99345  -0.11475  0.99351  -0.11375
0.115  0.99334  -0.11575  0.99339  -0.11475
0.116  0.99322  -0.11674  0.99328  -0.11574
0.117  0.9931  -0.11773  0.99316  -0.11673
0.118  0.99299  -0.11873  0.99305  -0.11773
0.119  0.99287  -0.11972  0.99293  -0.11872
0.12  0.99275  -0.12071  0.99281  -0.11971
0.121  0.99263  -0.1217  0.99269  -0.1207
0.122  0.99251  -0.1227  0.99257  -0.1217
0.123  0.99238  -0.12369  0.99245  -0.12269
0.124  0.99226  -0.12468  0.99232  -0.12368
0.125  0.99214  -0.12567  0.9922  -0.12467
0.126  0.99201  -0.12667  0.99207  -0.12567
0.127  0.99188  -0.12766  0.99195  -0.12666
0.128  0.99176  -0.12865  0.99182  -0.12765
0.129  0.99163  -0.12964  0.99169  -0.12864
0.13  0.9915  -0.13063  0.99156  -0.12963
0.131  0.99137  -0.13163  0.99143  -0.13063
0.132  0.99123  -0.13262  0.9913  -0.13162
0.133  0.9911  -0.13361  0.99117  -0.13261
0.134  0.99097  -0.1346  0.99104  -0.1336
0.135  0.99083  -0.13559  0.9909  -0.13459
0.136  0.9907  -0.13658  0.99077  -0.13558
0.137  0.99056  -0.13757  0.99063  -0.13657
0.138  0.99042  -0.13856  0.99049  -0.13756
0.139  0.99029  -0.13955  0.99036  -0.13855
0.14  0.99015  -0.14054  0.99022  -0.13954
0.141  0.99001  -0.14153  0.99008  -0.14053
0.142  0.98986  -0.14252  0.98993  -0.14152
0.143  0.98972  -0.14351  0.98979  -0.14251
0.144  0.98958  -0.1445  0.98965  -0.1435
0.145  0.98943  -0.14549  0.98951  -0.14449
0.146  0.98929  -0.14648  0.98936  -0.14548
0.147  0.98914  -0.14747  0.98921  -0.14647
0.148  0.98899  -0.14846  0.98907  -0.14746
0.149  0.98885  -0.14945  0.98892  -0.14845
0.15  0.9887  -0.15044  0.98877  -0.14944
0.151  0.98855  -0.15143  0.98862  -0.15043
0.152  0.98839  -0.15242  0.98847  -0.15142
0.153  0.98824  -0.1534  0.98832  -0.1524
0.154  0.98809  -0.15439  0.98817  -0.15339
0.155  0.98793  -0.15538  0.98801  -0.15438
0.156  0.98778  -0.15637  0.98786  -0.15537
