# time  thetat  wt  thetasmall  wsmall  Et  dE/T  t/T
0  3.1067  0  3.1067  0  19.614  0  0
0  3.1067  -0.00034236  3.1067  0  19.614  9.0292e-17  0
0.001  3.1067  -0.00068473  3.1067  -0.030477  19.614  0  0.00049849
0.002  3.1067  -0.0010271  3.1066  -0.060953  19.614  0  0.00099698
0.003  3.1067  -0.0013695  3.1065  -0.091428  19.614  0  0.0014955
0.004  3.1067  -0.0017119  3.1064  -0.1219  19.614  9.0292e-17  0.001994
0.005  3.1067  -0.0020543  3.1063  -0.15238  19.614  0  0.0024924
0.006  3.1067  -0.0023967  3.1061  -0.18285  19.614  9.0292e-17  0.0029909
0.007  3.1067  -0.0027392  3.1059  -0.21332  19.614  0  0.0034894
0.008  3.1067  -0.0030817  3.1057  -0.24379  19.614  0  0.0039879
0.009  3.1067  -0.0034242  3.1055  -0.27425  19.614  0  0.0044864
0.01  3.1067  -0.0037667  3.1052  -0.30472  19.614  9.0292e-17  0.0049849
0.011  3.1067  -0.0041093  3.1048  -0.33518  19.614  0  0.0054834
0.012  3.1067  -0.004452  3.1045  -0.36563  19.614  9.0292e-17  0.0059819
0.013  3.1067  -0.0047946  3.1041  -0.39609  19.614  0  0.0064803
0.014  3.1066  -0.0051373  3.1037  -0.42654  19.614  9.0292e-17  0.0069788
0.015  3.1066  -0.0054801  3.1033  -0.45698  19.614  0  0.0074773
0.016  3.1066  -0.0058229  3.1028  -0.48742  19.614  0  0.0079758
0.017  3.1066  -0.0061658  3.1023  -0.51786  19.614  9.0292e-17  0.0084743
0.018  3.1066  -0.0065088  3.1018  -0.54829  19.614  0  0.0089728
0.019  3.1066  -0.0068518  3.1012  -0.57871  19.614  9.0292e-17  0.0094713
0.02  3.1066  -0.0071948  3.1006  -0.60913  19.614  0  0.0099698
0.021  3.1066  -0.007538  3.1  -0.63955  19.614  0  0.010468
0.022  3.1066  -0.0078812  3.0993  -0.66995  19.614  9.0292e-17  0.010967
0.023  3.1066  -0.0082245  3.0986  -0.70036  19.614  0  0.011465
0.024  3.1066  -0.0085678  3.0979  -0.73075  19.614  0  0.011964
0.025  3.1066  -0.0089113  3.0972  -0.76114  19.614  0  0.012462
0.026  3.1066  -0.0092548  3.0964  -0.79152  19.614  9.0292e-17  0.012961
0.027  3.1066  -0.0095985  3.0956  -0.82189  19.614  9.0292e-17  0.013459
0.028  3.1065  -0.0099422  3.0947  -0.85225  19.614  0  0.013958
0.029  3.1065  -0.010286  3.0939  -0.88261  19.614  0  0.014456
0.03  3.1065  -0.01063  3.093  -0.91295  19.614  9.0292e-17  0.014955
0.031  3.1065  -0.010974  3.0921  -0.94329  19.614  0  0.015453
0.032  3.1065  -0.011318  3.0911  -0.97362  19.614  9.0292e-17  0.015952
0.033  3.1065  -0.011662  3.0901  -1.0039  19.614  0  0.01645
0.034  3.1065  -0.012007  3.0891  -1.0342  19.614  0  0.016949
0.035  3.1065  -0.012351  3.088  -1.0645  19.614  9.0292e-17  0.017447
0.036  3.1065  -0.012696  3.087  -1.0948  19.614  0  0.017946
0.037  3.1064  -0.013041  3.0858  -1.1251  19.614  0  0.018444
0.038  3.1064  -0.013385  3.0847  -1.1554  19.614  0  0.018943
0.039  3.1064  -0.01373  3.0835  -1.1856  19.614  0  0.019441
0.04  3.1064  -0.014076  3.0823  -1.2159  19.614  9.0292e-17  0.01994
0.041  3.1064  -0.014421  3.0811  -1.2461  19.614  0  0.020438
