# time  thetat  wt  thetasmall  wsmall  Et  dE/T  t/T
0  1.5708  0  1.5708  0  9.81  0  0
0  1.5708  -0.00981  1.5708  0  9.81  9.0264e-17  0
0.001  1.5708  -0.01962  1.5708  -0.015409  9.81  0  0.00049849
0.002  1.5708  -0.02943  1.5708  -0.030819  9.81  9.0264e-17  0.00099698
0.003  1.5707  -0.03924  1.5707  -0.046228  9.81  0  0.0014955
0.004  1.5707  -0.04905  1.5707  -0.061636  9.81  9.0264e-17  0.001994
0.005  1.5706  -0.05886  1.5706  -0.077044  9.81  9.0264e-17  0.0024924
0.006  1.5706  -0.06867  1.5705  -0.092452  9.81  0  0.0029909
0.007  1.5705  -0.07848  1.5704  -0.10786  9.81  9.0264e-17  0.0034894
0.008  1.5704  -0.08829  1.5703  -0.12326  9.81  1.8053e-16  0.0039879
0.009  1.5703  -0.0981  1.5702  -0.13867  9.81  1.8053e-16  0.0044864
0.01  1.5702  -0.10791  1.57  -0.15407  9.81  1.8053e-16  0.0049849
0.011  1.5701  -0.11772  1.5699  -0.16947  9.81  2.7079e-16  0.0054834
0.012  1.57  -0.12753  1.5697  -0.18487  9.81  3.6106e-16  0.0059819
0.013  1.5698  -0.13734  1.5695  -0.20027  9.81  3.6106e-16  0.0064803
0.014  1.5697  -0.14715  1.5693  -0.21566  9.81  4.5132e-16  0.0069788
0.015  1.5695  -0.15696  1.5691  -0.23106  9.81  5.4159e-16  0.0074773
0.016  1.5694  -0.16677  1.5688  -0.24645  9.81  6.3185e-16  0.0079758
0.017  1.5692  -0.17658  1.5686  -0.26184  9.81  6.3185e-16  0.0084743
0.018  1.569  -0.18639  1.5683  -0.27722  9.81  7.2211e-16  0.0089728
0.019  1.5688  -0.1962  1.568  -0.29261  9.81  8.1238e-16  0.0094713
0.02  1.5686  -0.20601  1.5677  -0.30799  9.81  9.0264e-16  0.0099698
0.021  1.5684  -0.21582  1.5674  -0.32337  9.81  1.0832e-15  0.010468
0.022  1.5682  -0.22563  1.5671  -0.33874  9.81  1.0832e-15  0.010967
0.023  1.568  -0.23544  1.5667  -0.35411  9.81  1.1734e-15  0.011465
0.024  1.5677  -0.24525  1.5664  -0.36948  9.81  1.2637e-15  0.011964
0.025  1.5675  -0.25506  1.566  -0.38484  9.81  1.4442e-15  0.012462
0.026  1.5672  -0.26487  1.5656  -0.4002  9.81  1.6248e-15  0.012961
0.027  1.567  -0.27468  1.5652  -0.41556  9.81  1.6248e-15  0.013459
0.028  1.5667  -0.28449  1.5648  -0.43091  9.81  1.8053e-15  0.013958
0.029  1.5664  -0.2943  1.5643  -0.44626  9.81  2.0761e-15  0.014456
0.03  1.5661  -0.30411  1.5639  -0.46161  9.81  2.1663e-15  0.014955
0.031  1.5658  -0.31392  1.5634  -0.47694  9.81  2.2566e-15  0.015453
0.032  1.5655  -0.32373  1.5629  -0.49228  9.81  2.4371e-15  0.015952
0.033  1.5651  -0.33354  1.5624  -0.50761  9.81  2.5274e-15  0.01645
0.034  1.5648  -0.34335  1.5619  -0.52293  9.81  2.7079e-15  0.016949
0.035  1.5644  -0.35316  1.5614  -0.53825  9.81  2.8885e-15  0.017447
0.036  1.5641  -0.36297  1.5608  -0.55357  9.81  2.9787e-15  0.017946
0.037  1.5637  -0.37278  1.5603  -0.56888  9.81  3.2495e-15  0.018444
0.038  1.5633  -0.38259  1.5597  -0.58418  9.81  3.43e-15  0.018943
0.039  1.5629  -0.3924  1.5591  -0.59948  9.81  3.6106e-15  0.019441
0.04  1.5626  -0.40221  1.5585  -0.61477  9.81  3.8814e-15  0.01994
0.041  1.5621  -0.41202  1.5579  -0.63005  9.81  4.0619e-15  0.020438
0.042  1.5617  -0.42183  1.5572  -0.64533  9.81  4.2424e-15  0.020936
0.043  1.5613  -0.43164  1.5566  -0.66061  9.81  4.5132e-15  0.021435
0.044  1.5609  -0.44145  1.5559  -0.67587  9.81  4.784e-15  0.021933
0.045  1.5604  -0.45126  1.5552  -0.69113  9.81  4.9645e-15  0.022432
0.046  1.56  -0.46106  1.5545  -0.70639  9.81  5.2353e-15  0.02293
0.047  1.5595  -0.47087  1.5538  -0.72163  9.81  5.5061e-15  0.023429
0.048  1.559  -0.48068  1.5531  -0.73687  9.81  5.6866e-15  0.023927
0.049  1.5585  -0.49049  1.5523  -0.75211  9.81  5.8672e-15  0.024426
0.05  1.558  -0.5003  1.5516  -0.76733  9.81  6.138e-15  0.024924
