# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0  1  0  1  0  0.5  0  0
0  0.995  -0.1  1  0  0.50001  3.9789e-06  0
0.1  0.98003  -0.199  0.995  -0.099833  0.50003  7.9578e-06  0.015915
0.2  0.95522  -0.29601  0.98007  -0.19867  0.50004  1.1937e-05  0.031831
0.3  0.92085  -0.39005  0.95534  -0.29552  0.50005  1.5916e-05  0.047746
0.4  0.87724  -0.48018  0.92106  -0.38942  0.50006  1.9895e-05  0.063662
0.5  0.82483  -0.56551  0.87758  -0.47943  0.50008  2.3875e-05  0.079577
0.6  0.76416  -0.64516  0.82534  -0.56464  0.50009  2.7854e-05  0.095493
0.7  0.69582  -0.71835  0.76484  -0.64422  0.5001  3.1834e-05  0.11141
0.8  0.62051  -0.78434  0.69671  -0.71736  0.50011  3.5813e-05  0.12732
0.9  0.53897  -0.84247  0.62161  -0.78333  0.50013  3.9793e-05  0.14324
1  0.45203  -0.89216  0.5403  -0.84147  0.50014  4.3773e-05  0.15915
1.1  0.36055  -0.9329  0.4536  -0.89121  0.50015  4.7753e-05  0.17507
1.2  0.26546  -0.96429  0.36236  -0.93204  0.50016  5.1733e-05  0.19099
1.3  0.1677  -0.98601  0.2675  -0.96356  0.50018  5.5713e-05  0.2069
1.4  0.068264  -0.99786  0.16997  -0.98545  0.50019  5.9694e-05  0.22282
1.5  -0.031863  -0.99969  0.070737  -0.99749  0.5002  6.3674e-05  0.23873
1.6  -0.13167  -0.99151  -0.0292  -0.99957  0.50021  6.7654e-05  0.25465
1.7  -0.23017  -0.97338  -0.12884  -0.99166  0.50023  7.1635e-05  0.27056
1.8  -0.32635  -0.9455  -0.2272  -0.97385  0.50024  7.5616e-05  0.28648
1.9  -0.41927  -0.90814  -0.32329  -0.9463  0.50025  7.9596e-05  0.30239
2  -0.50799  -0.86167  -0.41615  -0.9093  0.50026  8.3577e-05  0.31831
2.1  -0.59162  -0.80656  -0.50485  -0.86321  0.50028  8.7558e-05  0.33423
2.2  -0.66931  -0.74337  -0.5885  -0.8085  0.50029  9.1539e-05  0.35014
2.3  -0.7403  -0.67272  -0.66628  -0.74571  0.5003  9.552e-05  0.36606
2.4  -0.80387  -0.59532  -0.73739  -0.67546  0.50031  9.9502e-05  0.38197
2.5  -0.85939  -0.51196  -0.80114  -0.59847  0.50033  0.00010348  0.39789
2.6  -0.90629  -0.42346  -0.85689  -0.5155  0.50034  0.00010746  0.4138
2.7  -0.9441  -0.33072  -0.90407  -0.42738  0.50035  0.00011145  0.42972
2.8  -0.97245  -0.23465  -0.94222  -0.33499  0.50036  0.00011543  0.44563
2.9  -0.99106  -0.13623  -0.97096  -0.23925  0.50038  0.00011941  0.46155
3  -0.99972  -0.036448  -0.98999  -0.14112  0.50039  0.00012339  0.47746
3.1  -0.99837  0.063707  -0.99914  -0.041581  0.5004  0.00012737  0.49338
3.2  -0.98701  0.16323  -0.99829  0.058374  0.50041  0.00013136  0.5093
3.3  -0.96575  0.26111  -0.98748  0.15775  0.50043  0.00013534  0.52521
3.4  -0.93481  0.35638  -0.9668  0.25554  0.50044  0.00013932  0.54113
3.5  -0.8945  0.44808  -0.93646  0.35078  0.50045  0.0001433  0.55704
3.6  -0.84522  0.53529  -0.89676  0.44252  0.50046  0.00014728  0.57296
3.7  -0.78746  0.61713  -0.8481  0.52984  0.50048  0.00015127  0.58887
3.8  -0.72181  0.69279  -0.79097  0.61186  0.50049  0.00015525  0.60479
3.9  -0.64892  0.76151  -0.72593  0.68777  0.5005  0.00015923  0.6207
4  -0.56953  0.8226  -0.65364  0.7568  0.50051  0.00016322  0.63662
4.1  -0.48442  0.87544  -0.57482  0.81828  0.50053  0.0001672  0.65254
4.2  -0.39445  0.9195  -0.49026  0.87158  0.50054  0.00017118  0.66845
4.3  -0.30053  0.95435  -0.4008  0.91617  0.50055  0.00017516  0.68437
4.4  -0.2036  0.97963  -0.30733  0.9516  0.50056  0.00017915  0.70028
4.5  -0.10461  0.99509  -0.2108  0.97753  0.50058  0.00018313  0.7162
4.6  -0.0045819  1.0006  -0.11215  0.99369  0.50059  0.00018711  0.73211
4.7  0.095499  0.99603  -0.012389  0.99992  0.5006  0.0001911  0.74803
4.8  0.19462  0.9815  0.087499  0.99616  0.50061  0.00019508  0.76394
4.9  0.2918  0.95713  0.18651  0.98245  0.50063  0.00019907  0.77986
5  0.38606  0.92317  0.28366  0.95892  0.50064  0.00020305  0.79577
5.1  0.47644  0.87995  0.37798  0.92581  0.50065  0.00020703  0.81169
5.2  0.56205  0.8279  0.46852  0.88345  0.50066  0.00021102  0.82761
5.3  0.64203  0.76756  0.55437  0.83227  0.50068  0.000215  0.84352
5.4  0.71558  0.69952  0.63469  0.77276  0.50069  0.00021899  0.85944
5.5  0.78195  0.62446  0.70867  0.70554  0.5007  0.00022297  0.87535
5.6  0.84049  0.54314  0.77557  0.63127  0.50071  0.00022695  0.89127
5.7  0.8906  0.45638  0.83471  0.55069  0.50073  0.00023094  0.90718
5.8  0.93179  0.36504  0.88552  0.4646  0.50074  0.00023492  0.9231
5.9  0.96363  0.27003  0.92748  0.37388  0.50075  0.00023891  0.93901
6  0.98582  0.17232  0.96017  0.27942  0.50076  0.00024289  0.95493
6.1  0.99812  0.072875  0.98327  0.18216  0.50078  0.00024688  0.97085
6.2  1.0004  -0.027301  0.99654  0.083089  0.50079  0.00025086  0.98676
6.3  0.99268  -0.12721  0.99986  -0.016814  0.5008  0.00025485  1.0027
6.4  0.975  -0.22584  0.99318  -0.11655  0.50081  0.00025883  1.0186
6.5  0.94754  -0.32221  0.97659  -0.21512  0.50083  0.00026282  1.0345
6.6  0.91058  -0.41535  0.95023  -0.31154  0.50084  0.0002668  1.0504
6.7  0.86449  -0.50433  0.91438  -0.40485  0.50085  0.00027079  1.0663
