# Coefficient of restoration: 0.01
# Max number of bounces: 10
#  n    t      tsum      E      y       ysum 
  0 0 0 9.8066501617431640625 0 0
  1 0.45160076022148132324 0.45160076022148132324 9.8066501617431640625 1 1
  3 0.045160077512264251709 0.54192090034484863281 0.098066501319408416748 0.0099999997764825820923 1.0199999809265136719
  5 0.0045160073786973953247 0.550952911376953125 0.00098066497594118118286 9.9999997473787516356e-05 1.0202000141143798828
  7 0.00045160073204897344112 0.55185610055923461914 9.8066493592341430485e-06 9.9999988378840498626e-07 1.0202020406723022461
  9 4.5160075387684628367e-05 0.55194640159606933594 9.8066493592341430485e-08 9.9999990510468705907e-09 1.0202020406723022461
  11 4.5160072659200523049e-06 0.55195546150207519531 9.8066488263270912284e-10 9.9999987457355388187e-11 1.0202020406723022461
  13 4.5160072659200523049e-07 0.55195635557174682617 9.8066485487713350722e-12 9.999998875839799517e-13 1.0202020406723022461
  15 4.5160071238115051528e-08 0.55195647478103637695 9.8066486300864980086e-14 9.9999989774837531875e-15 1.0202020406723022461
  17 4.5160071238115051528e-09 0.55195647478103637695 9.8066488841963821849e-16 9.999998845134855179e-17 1.0202020406723022461
  19 4.5160072903449588466e-10 0.55195647478103637695 9.8066488511091576827e-18 9.9999983901855182749e-19 1.0202020406723022461
  21 4.5160073597338978857e-11 0.55195647478103637695 9.8066487994103693982e-20 9.9999988748616584427e-21 1.0202020406723022461
