# t  x  y  z  vx  vy  vz  downrange
0  0  0  0  0  0  0  0
0  0.000346234  0  0.000742502  0.0692477  0  0.148502  0
0.01  0.00138497  0  0.00297008  0.138501  0  0.297015  0
0.02  0.00311626  0  0.00668285  0.207759  0  0.44554  0
0.03  0.00554016  0  0.0118809  0.277022  0  0.594075  0
0.04  0.00865671  0  0.0185644  0.34629  0  0.742621  0
0.05  0.012466  0  0.0267334  0.415563  0  0.891179  0
0.06  0.016968  0  0.036388  0.484842  0  1.03975  0
0.07  0.0221628  0  0.0475283  0.554126  0  1.18833  0
0.08  0.0280505  0  0.0601546  0.623414  0  1.33692  0
0.09  0.0346311  0  0.0742667  0.692708  0  1.48552  0
0.1  0.0419047  0  0.0898649  0.762007  0  1.63413  0
0.11  0.0498713  0  0.106949  0.831311  0  1.78275  0
0.12  0.058531  0  0.12552  0.900621  0  1.93139  0
0.13  0.0678837  0  0.145577  0.969935  0  2.08003  0
0.14  0.0779297  0  0.167121  1.03925  0  2.22869  0
0.15  0.0886688  0  0.190151  1.10858  0  2.37736  0
0.16  0.100101  0  0.214668  1.17791  0  2.52603  0.134408
0.17  0.112227  0  0.240672  1.24724  0  2.67472  0.134408
0.18  0.125046  0  0.268162  1.31658  0  2.82342  0.134408
0.19  0.138559  0  0.29714  1.38593  0  2.97213  0.134408
0.2  0.152765  0  0.327605  1.45528  0  3.12086  0.164616
0.21  0.167664  0  0.359557  1.52463  0  3.26959  0.164616
0.22  0.183257  0  0.392997  1.59399  0  3.41833  0.134408
0.23  0.199544  0  0.427924  1.66336  0  3.56709  0.164616
0.24  0.216525  0  0.464339  1.73273  0  3.71585  0.212518
0.25  0.234199  0  0.502241  1.80211  0  3.86463  0.251455
0.26  0.252567  0  0.541631  1.87149  0  4.01342  0.251455
0.27  0.271629  0  0.582509  1.94087  0  4.16222  0.285123
0.28  0.291384  0  0.624876  2.01026  0  4.31102  0.300546
0.29  0.311834  0  0.66873  2.07966  0  4.45985  0.300546
0.3  0.332978  0  0.714073  2.14906  0  4.60868  0.329232
0.31  0.354815  0  0.760904  2.21847  0  4.75752  0.355611
0.32  0.377347  0  0.809223  2.28788  0  4.90637  0.380164
0.33  0.400573  0  0.859031  2.3573  0  5.05524  0.391864
0.34  0.424493  0  0.910328  2.42672  0  5.20411  0.435533
0.35  0.449107  0  0.963113  2.49614  0  5.353  0.435533
0.36  0.474416  0  1.01739  2.56558  0  5.50189  0.465604
0.37  0.500419  0  1.07315  2.63501  0  5.6508  0.50291
0.38  0.527116  0  1.1304  2.70445  0  5.79972  0.529166
0.39  0.554508  0  1.18915  2.7739  0  5.94865  0.562271
0.4  0.582594  0  1.24938  2.84335  0  6.09759  0.570247
0.41  0.611375  0  1.3111  2.91281  0  6.24654  0.615937
0.42  0.64085  0  1.37431  2.98227  0  6.3955  0.637555
0.43  0.67102  0  1.43901  3.05174  0  6.54448  0.672042
0.44  0.701885  0  1.5052  3.12121  0  6.69346  0.704844
0.45  0.733445  0  1.57288  3.19069  0  6.84246  0.730025
0.46  0.765699  0  1.64205  3.26017  0  6.99146  0.760329
0.47  0.798648  0  1.71271  3.32966  0  7.14048  0.800831
