# t  x  y  z  vx  vy  vz  downrange
0  0  0  0  0  0  0  0
0  0.000742502  0  0.000346234  0.148502  0  0.0692477  0
0.01  0.00297008  0  0.00138497  0.297015  0  0.138501  0
0.02  0.00668285  0  0.00311626  0.44554  0  0.207759  0
0.03  0.0118809  0  0.00554016  0.594075  0  0.277022  0
0.04  0.0185644  0  0.00865671  0.742621  0  0.34629  0
0.05  0.0267334  0  0.012466  0.891179  0  0.415563  0
0.06  0.036388  0  0.016968  1.03975  0  0.484842  0
0.07  0.0475283  0  0.0221628  1.18833  0  0.554126  0
0.08  0.0601545  0  0.0280505  1.33692  0  0.623414  0
0.09  0.0742667  0  0.0346311  1.48552  0  0.692708  0.134408
0.1  0.0898649  0  0.0419047  1.63413  0  0.762007  0.134408
0.11  0.106949  0  0.0498713  1.78275  0  0.831311  0
0.12  0.12552  0  0.058531  1.93139  0  0.900621  0.134408
0.13  0.145577  0  0.0678837  2.08003  0  0.969935  0.164616
0.14  0.167121  0  0.0779297  2.22869  0  1.03925  0.164616
0.15  0.190151  0  0.0886688  2.37736  0  1.10858  0.164616
0.16  0.214668  0  0.100101  2.52603  0  1.17791  0.212518
0.17  0.240672  0  0.112227  2.67472  0  1.24724  0.212518
0.18  0.268162  0  0.125046  2.82342  0  1.31658  0.251455
0.19  0.29714  0  0.138559  2.97213  0  1.38593  0.285123
0.2  0.327605  0  0.152765  3.12086  0  1.45528  0.300546
0.21  0.359557  0  0.167664  3.26959  0  1.52463  0.355611
0.22  0.392997  0  0.183257  3.41833  0  1.59399  0.391864
0.23  0.427924  0  0.199544  3.56709  0  1.66336  0.435533
0.24  0.464339  0  0.216525  3.71585  0  1.73273  0.465604
0.25  0.502241  0  0.234199  3.86463  0  1.80211  0.50291
0.26  0.541631  0  0.252567  4.01342  0  1.87149  0.54597
0.27  0.582509  0  0.271629  4.16221  0  1.94087  0.570247
0.28  0.624876  0  0.291384  4.31102  0  2.01026  0.623226
0.29  0.66873  0  0.311834  4.45984  0  2.07966  0.658464
0.3  0.714073  0  0.332977  4.60867  0  2.14906  0.717545
0.31  0.760903  0  0.354815  4.75752  0  2.21847  0.760329
0.32  0.809223  0  0.377347  4.90637  0  2.28788  0.812031
0.33  0.859031  0  0.400573  5.05523  0  2.35729  0.85537
0.34  0.910328  0  0.424493  5.20411  0  2.42672  0.911602
0.35  0.963113  0  0.449107  5.35299  0  2.49614  0.959868
0.36  1.01739  0  0.474416  5.50189  0  2.56557  1.01476
0.37  1.07315  0  0.500418  5.6508  0  2.63501  1.06683
0.38  1.1304  0  0.527116  5.79972  0  2.70445  1.14049
0.39  1.18915  0  0.554508  5.94864  0  2.7739  1.19086
0.4  1.24938  0  0.582594  6.09758  0  2.84335  1.25007
0.41  1.3111  0  0.611375  6.24653  0  2.91281  1.31005
0.42  1.37431  0  0.64085  6.3955  0  2.98227  1.37399
0.43  1.43901  0  0.67102  6.54447  0  3.05174  1.43509
0.44  1.5052  0  0.701885  6.69345  0  3.12121  1.50573
0.45  1.57288  0  0.733444  6.84245  0  3.19069  1.57034
0.46  1.64205  0  0.765698  6.99145  0  3.26017  1.64341
0.47  1.71271  0  0.798648  7.14047  0  3.32965  1.7081
0.48  1.78485  0  0.832292  7.28949  0  3.39915  1.78059
0.49  1.8585  0  0.86663  7.43853  0  3.45233  1.85756
0.5  1.93363  0  0.901008  7.58808  0  3.42283  1.93613
0.51  2.01026  0  0.935082  7.73836  0  3.39174  2.00715
0.52  2.0884  0  0.968837  7.88935  0  3.35905  2.08874
0.53  2.16805  0  1.00226  8.04103  0  3.32478  2.16935
0.54  2.24922  0  1.03533  8.19338  0  3.28893  2.24707
0.55  2.33192  0  1.06803  8.34637  0  3.25152  2.32802
0.56  2.41615  0  1.10035  8.49997  0  3.21254  2.41374
0.57  2.50192  0  1.13228  8.65418  0  3.17202  2.50375
0.58  2.58923  0  1.16379  8.80896  0  3.12997  2.58889
0.59  2.6781  0  1.19487  8.9643  0  3.08638  2.67807
0.6  2.76852  0  1.22551  9.12017  0  3.04128  2.76927
0.61  2.86051  0  1.25569  9.27655  0  2.99468  2.86072
0.62  2.95406  0  1.2854  9.43343  0  2.94658  2.95546
0.63  3.04918  0  1.31462  9.59079  0  2.897  3.04873
0.64  3.14587  0  1.34333  9.7486  0  2.84595  3.14786
0.65  3.24415  0  1.37153  9.90686  0  2.79344  3.24534
0.66  3.34401  0  1.3992  10.0655  0  2.73949  3.34269
0.67  3.44546  0  1.42632  10.2246  0  2.68409  3.44647
0.68  3.5485  0  1.45288  10.3841  0  2.62728  3.54848
0.69  3.65314  0  1.47886  10.5439  0  2.56905  3.6526
0.7  3.75938  0  1.50425  10.7041  0  2.50942  3.75983
0.71  3.86723  0  1.52904  10.8646  0  2.4484  3.86877
0.72  3.97668  0  1.55322  11.0255  0  2.38601  3.97699
0.73  4.08774  0  1.57676  11.1866  0  2.32225  4.08898
0.74  4.20041  0  1.59966  11.3481  0  2.25715  4.20013
0.75  4.3147  0  1.6219  11.5098  0  2.1907  4.31574
0.76  4.43061  0  1.64347  11.6718  0  2.12293  4.4314
0.77  4.54814  0  1.66435  11.834  0  2.05384  4.54809
0.78  4.66729  0  1.68454  11.9965  0  1.98346  4.66864
0.79  4.78807  0  1.70402  12.1592  0  1.91178  4.78898
0.8  4.91047  0  1.72277  12.3221  0  1.83882  4.90821
0.81  5.03451  0  1.74079  12.4852  0  1.7646  5.03449
0.82  5.16018  0  1.75806  12.6485  0  1.68913  5.1603
0.83  5.28748  0  1.77457  12.812  0  1.61241  5.28825
0.84  5.41642  0  1.7903  12.9757  0  1.53447  5.41567
0.85  5.54699  0  1.80525  13.1395  0  1.4553  5.54832
0.86  5.67921  0  1.8194  13.3034  0  1.37494  5.67866
0.87  5.81306  0  1.83275  13.4675  0  1.29338  5.81384
0.88  5.94856  0  1.84527  13.6317  0  1.21063  5.94748
0.89  6.0857  0  1.85695  13.7961  0  1.12672  6.08634
0.9  6.22448  0  1.8678  13.9605  0  1.04165  6.22501
0.91  6.36491  0  1.87778  14.1251  0  0.955436  6.36492
0.92  6.50698  0  1.8869  14.2897  0  0.868085  6.50737
0.93  6.6507  0  1.89514  14.4544  0  0.779611  6.64948
0.94  6.79607  0  1.90249  14.6192  0  0.690024  6.79594
0.95  6.94309  0  1.90894  14.784  0  0.599336  6.94256
0.96  7.09175  0  1.91447  14.9489  0  0.507559  7.09187
0.97  7.24206  0  1.91909  15.1138  0  0.414703  7.24123
0.98  7.39403  0  1.92276  15.2788  0  0.32078  7.3943
0.99  7.54764  0  1.9255  15.4439  0  0.225799  7.54784
1  7.7029  0  1.92728  15.6089  0  0.129773  7.70361
1.01  7.85982  0  1.92809  15.774  0  0.0327113  7.86031
1.02  8.01838  0  1.92793  15.9391  0  -0.065375  8.01845
1.03  8.1786  0  1.92678  16.1041  0  -0.164476  8.17851
1.04  8.34047  0  1.92463  16.2692  0  -0.26458  8.34036
1.05  8.50398  0  1.92148  16.4343  0  -0.365678  8.50392
1.06  8.66915  0  1.91732  16.5994  0  -0.467759  8.66908
1.07  8.83597  0  1.91213  16.7645  0  -0.570814  8.83627
1.08  9.00444  0  1.9059  16.9295  0  -0.674832  9.00436
1.09  9.17456  0  1.89863  17.0945  0  -0.779803  9.1743
1.1  9.34633  0  1.8903  17.2595  0  -0.885718  9.34501
1.11  9.51975  0  1.88091  17.4245  0  -0.992567  9.51978
1.12  9.69482  0  1.87044  17.5894  0  -1.10034  9.69466
1.13  9.87154  0  1.8589  17.7542  0  -1.20903  9.87193
1.14  10.0499  0  1.84626  17.919  0  -1.31862  10.0506
1.15  10.2299  0  1.83252  18.0838  0  -1.42912  10.2301
1.16  10.4116  0  1.81768  18.2485  0  -1.54049  10.4117
1.17  10.5949  0  1.80171  18.4131  0  -1.65275  10.5948
1.18  10.7798  0  1.78462  18.5777  0  -1.76588  10.7791
1.19  10.9664  0  1.76639  18.7422  0  -1.87986  10.9664
1.2  11.1547  0  1.74702  18.9066  0  -1.9947  11.1551
1.21  11.3446  0  1.72649  19.071  0  -2.11038  11.3454
1.22  11.5361  0  1.70481  19.2352  0  -2.2269  11.536
1.23  11.7293  0  1.68195  19.3994  0  -2.34424  11.7302
1.24  11.9241  0  1.65792  19.5635  0  -2.4624  11.9249
1.25  12.1206  0  1.6327  19.7275  0  -2.58137  12.1206
1.26  12.3186  0  1.60629  19.8914  0  -2.70115  12.3187
1.27  12.5184  0  1.57868  20.0553  0  -2.82171  12.5188
1.28  12.7197  0  1.54985  20.219  0  -2.94306  12.7192
1.29  12.9228  0  1.51981  20.3826  0  -3.06519  12.9228
1.3  13.1274  0  1.48855  20.5461  0  -3.18809  13.1274
1.31  13.3337  0  1.45605  20.7095  0  -3.31175  13.3336
1.32  13.5416  0  1.42231  20.8728  0  -3.43617  13.5416
1.33  13.7511  0  1.38732  21.036  0  -3.56133  13.7511
1.34  13.9623  0  1.35108  21.1991  0  -3.68724  13.9626
1.35  14.1751  0  1.31358  21.362  0  -3.81387  14.1758
1.36  14.3896  0  1.2748  21.5248  0  -3.94123  14.3895
1.37  14.6056  0  1.23475  21.6876  0  -4.06931  14.6051
1.38  14.8233  0  1.19341  21.8502  0  -4.19811  14.8231
1.39  15.0426  0  1.15078  22.0126  0  -4.3276  15.0426
1.4  15.2636  0  1.10686  22.175  0  -4.4578  15.2638
1.41  15.4861  0  1.06163  22.3372  0  -4.58868  15.4859
1.42  15.7103  0  1.01508  22.4993  0  -4.72025  15.7103
1.43  15.9361  0  0.967218  22.6612  0  -4.8525  15.9363
1.44  16.1635  0  0.918029  22.823  0  -4.98542  16.1631
1.45  16.3926  0  0.867507  22.9847  0  -5.119  16.3926
1.46  16.6232  0  0.815647  23.1463  0  -5.25324  16.6232
1.47  16.8555  0  0.76244  23.3077  0  -5.38813  16.8555
1.48  17.0894  0  0.707882  23.469  0  -5.52367  17.0894
1.49  17.3249  0  0.651965  23.6301  0  -5.65985  17.3251
1.5  17.562  0  0.594683  23.7911  0  -5.79666  17.562
1.51  17.8007  0  0.53603  23.9519  0  -5.9341  17.8009
1.52  18.041  0  0.475999  24.1127  0  -6.07216  18.0413
1.53  18.2829  0  0.414584  24.2732  0  -6.21084  18.2825
1.54  18.5265  0  0.35178  24.4336  0  -6.35013  18.5262
1.55  18.7716  0  0.28758  24.5939  0  -6.49002  18.7718
1.56  19.0183  0  0.221978  24.754  0  -6.63051  19.0184
1.57  19.2667  0  0.154967  24.914  0  -6.77159  19.2671
1.58  19.5166  0  0.0865437  25.0738  0  -6.91327  19.5163
1.59  19.7682  0  0.0167002  25.2335  0  -7.05552  19.7681
1.6  20.0213  0  -0.0545686  25.393  0  -7.19835  20.0214
